Mr Smith  |0123456789|93000|BOBIGNY|93000|SEINE SAINT DENIS|93008
A. Legrand|0123456768|78200|BOINVILLIERS|78200|YVELINES|78072
Mr Smith  |0123456789|95000|BOISEMONT|95000|VAL D'OISE|95074
Mr Legrand|0123456768|95000|BOISEMONT|95000|VAL D'OISE|95074
Mr Legrand|0123456768|95000|BOISEMONT|95000|VAL D'OISE|95074
A. Legrand|0123456768|78200|BOISSY MAUVOISIN|78200|YVELINES|78082
Mr Smith  |0123456789|78440|BRUEIL EN VEXIN|78440|YVELINES|78113
A. Legrand|0123456768|78200|BUCHELAY|78200|YVELINES|78118
Mr Smith  |0123456789|95000|CERGY|95000|VAL D'OISE|95127
Mr Legrand|0123456768|95000|CERGY|95000|VAL D'OISE|95127
Mr Legrand|0123456768|95000|CERGY|95000|VAL D'OISE|95127
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
MT Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Z. Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
B. Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
V. Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78400|CHATOU|78400|YVELINES|78146
Mr Smith  |0123456789|78400|CHATOU|78400|YVELINES|78146
Mr Legrand|0123456768|78120|CLAIREFONTAINE EN YVELINE|78120|YVELINES|78164
Mr Legrand|0123456768|92110|CLICHY|92110|HAUTS DE SEINE|92024
Mr Smith  |0123456789|78440|DROCOURT|78440|YVELINES|78202
A. Legrand|0123456768|78200|FAVRIEUX|78200|YVELINES|78231
A. Legrand|0123456768|78200|FLACOURT|78200|YVELINES|78234
A. Legrand|0123456768|78200|FONTENAY MAUVOISIN|78200|YVELINES|78245
Mr Smith  |0123456789|78440|FONTENAY ST PERE|78440|YVELINES|78246
Mr Smith  |0123456789|78440|GARGENVILLE|78440|YVELINES|78267
Mr Smith  |0123456789|78440|GUITRANCOURT|78440|YVELINES|78296
Mr Smith  |0123456789|78800|HOUILLES|78800|YVELINES|78311
Mr Smith  |0123456789|78440|ISSOU|78440|YVELINES|78314
Mr Smith  |0123456789|78440|JAMBVILLE|78440|YVELINES|78317
A. Legrand|0123456768|78200|JOUY MAUVOISIN|78200|YVELINES|78324
Mr Smith  |0123456789|78440|LAINVILLE|78440|YVELINES|78329
Mr Smith  |0123456789|78300|LA MALADRERIE|78300|YVELINES|78904
Mr Smith  |0123456789|78110|LE VESINET|78110|YVELINES|78650
Y. Smith  |0123456789|78110|LE VESINET|78110|YVELINES|78650
A. Legrand|0123456768|78200|MAGNANVILLE|78200|YVELINES|78354
A. Legrand|0123456768|78200|MANTES LA JOLIE|78200|YVELINES|78361
A. Legrand|0123456768|78200|MANTES LA VILLE|78200|YVELINES|78362
Mr Smith  |0123456789|95000|MENANDON|95000|VAL D'OISE|95902
Mr Legrand|0123456768|95000|MENANDON|95000|VAL D'OISE|95902
Mr Legrand|0123456768|95000|MENANDON|95000|VAL D'OISE|95902
A. Legrand|0123456768|78200|MENERVILLE|78200|YVELINES|78385
Mr Smith  |0123456789|78440|MONTALET LE BOIS|78440|YVELINES|78416
Mr Legrand|0123456768|78360|MONTESSON|78360|YVELINES|78418
Mr Smith  |0123456789|95000|NEUVILLE SUR OISE|95000|VAL D'OISE|95450
Mr Legrand|0123456768|95000|NEUVILLE SUR OISE|95000|VAL D'OISE|95450
Mr Legrand|0123456768|95000|NEUVILLE SUR OISE|95000|VAL D'OISE|95450
Mr Smith  |0123456789|75001|PARIS 1ER ARRONDISSEMENT|75001|PARIS|75101
A. Legrand|0123456768|78200|PERDREAUVILLE|78200|YVELINES|78484
Mr Smith  |0123456789|78300|POISSY|78300|YVELINES|78498
Mr Smith  |0123456789|95000|PONTOISE|95000|VAL D'OISE|95500
Mr Legrand|0123456768|95000|PONTOISE|95000|VAL D'OISE|95500
Mr Legrand|0123456768|95000|PONTOISE|95000|VAL D'OISE|95500
Mr Smith  |0123456789|78440|PORCHEVILLE|78440|YVELINES|78501
Mr Legrand|0123456768|78120|RAMBOUILLET|78120|YVELINES|78517
Mr Smith  |0123456789|78440|SAILLY|78440|YVELINES|78536
A. Legrand|0123456768|78200|SOINDRES|78200|YVELINES|78597
Mr Legrand|0123456768|78120|SONCHAMP|78120|YVELINES|78601
Mr Smith  |0123456789|78100|ST GERMAIN EN LAYE|78100|YVELINES|78551
Mr Smith  |0123456789|78100|ST GERMAIN EN LAYE|78100|YVELINES|78551
Mr Legrand|0123456768|93400|ST OUEN|93400|SEINE SAINT DENIS|93070
