Glenridge Manor Mobile Home Pk;;false;3060.35;07-03-2000;Hinds;8003;false;7209.22;06-04-2016
Johnson. Wes Esq;49120;true;6362.62;05-11-2009;Chattooga;94104;false;5711.95;22-11-2015
Business Systems Of Wis Inc;4401;false;-3650.99;22-10-2015;Lackawanna;91731;;8361.98;01-01-2011
Westbrooks. Nelson E Jr;53715;true;6010.21;22-03-2019;Fairfax;11563;false;2868.37;26-03-2013
Sebring & Co;2210;true;4803.67;13-02-2020;Latah;53207;true;3298.91;16-09-2000
Centerline Engineering;1742;true;5272.11;25-10-2019;Riverside;11219;true;5309.21;14-09-2016
Sat Poly Inc;11727;true;7454.02;30-08-2014;;97005;true;8184.84;06-07-2001
Riley Riper Hollin & Colagreco;50315;false;9178.36;02-04-2020;San Diego;59701;true;5203.35;02-08-2002
Price Business Services;7306;true;9272.51;31-10-2005;Oakland;27409;true;2177.87;03-12-2012
Lee Kilkelly Paulson & Kabaker;39211;;2828.93;10-06-2018;Maricopa;10553;true;6166.95;18-03-2018
Garrison. Paul E Esq;30753;false;5683.29;09-06-2011;Shelby;70360;false;2906.19;05-01-2004
Bradley Nameplate Corp;18411;false;2936.87;05-03-2006;Maricopa;80303;false;6673.79;08-01-2007
Barkan. Neal J Esq;22102;true;2485.88;02-08-2017;Cook;2919;true;7929.29;22-06-2003
Sharp. J Daniel Esq;83843;true;7408.22;09-11-2008;Oakland;53511;true;5649.82;
;92276;false;6203.55;02-09-2010;Baltimore City;17601;false;8142.38;26-03-2006
Garofani. John Esq;79109;true;9045.45;16-06-2003;Cass;48126;false;4963.76;24-06-2010
Serendiquity Bed & Breakfast;92110;true;4422.62;28-02-2004;Fairfield;94105;false;6067.62;07-10-2019
Anchorage Museum Of Hist & Art;48329;false;6928.5;02-10-2008;Summit;10701;false;3740.37;28-10-2008
Rodriguez. J Christopher Esq;85012;true;2205.41;20-07-2016;Cuyahoga;45011;true;4467.66;09-10-2001
General Foam Corporation;38112;false;3513.26;;Marion;75227;false;2421.12;17-07-2008
Eldridge. Kristin K Esq;85013;false;2621.0;10-01-2002;Morris;84115;false;6652.81;24-04-2018
Rodeway Inn;60067;true;8560.46;13-10-2006;Bergen;70112;true;5787.08;04-01-2007
Italian Express Franchise Corp;;false;8530.66;22-09-2011;Lucas;54481;true;4606.35;08-01-2001
Baird Kurtz & Dobson;21230;false;4618.46;05-03-2012;Dallas;10003;true;3016.37;23-12-2009
Earnhardt Printing;58102;true;3071.74;06-12-2019;Cook;;true;5517.56;19-01-2006
Wheatley Trucking Company;6610;true;8171.2;22-08-2001;Hennepin;48180;true;8103.71;13-02-2011
Spoor Behrins Campbell & Young;44302;false;4085.86;26-04-2019;Bucks;44820;true;8054.19;18-03-2016
Mark Ii Imports Inc;44136;false;5588.95;14-12-2010;Dekalb;90016;false;3218.92;27-11-2014
Harris Corporation;46220;true;9027.67;22-07-2000;Anne Arundel;21074;false;;31-05-2003
Dorl. James J Esq;7869;false;5005.56;02-11-2013;Montgomery;32822;true;4387.15;20-04-2009
Rousseaux. Michael Esq;7652;false;6530.24;29-03-2004;Dakota;98070;false;7361.03;15-08-2007
Windsor. James L Esq;43607;false;;06-11-2019;Allen;99352;true;2855.71;19-08-2016
Kwikprint;75150;false;2318.33;13-05-2002;Baltimore City;7071;true;6276.26;22-07-2009
Ken Jeter Store Equipment Inc;60638;false;7282.2;23-07-2008;Montgomery;8873;true;6464.60;01-06-2004
Schmid. Gayanne K Esq;55401;true;8280.62;21-11-2007;Webb;76040;true;8147.42;18-11-2006
Mike Uchrin Htg & Air Cond Inc;18966;false;4531.14;06-07-2005;Ventura;80937;false;8276.25;28-01-2011
Chemel. James L Cpa;30340;true;9474.7;18-10-2006;District of Columbia;67410;false;2178.44;21-01-2014
Woodbridge Free Public Library;21076;false;2661.87;05-09-2002;Maricopa;80110;true;2728.93;15-08-2001
Freehold Fence Co;19440;false;2723.88;21-09-2012;Cook;16502;true;9103.74;25-03-2002
American Speedy Printing Ctrs;55337;true;3981.35;02-01-2015;Hillsborough;78204;true;2718.95;26-05-2015
Grayson. Grant S Esq;46802;false;6385.66;27-01-2018;Gloucester;43613;true;6552.03;23-05-2013
New England Sec Equip Co Inc;21202;true;6902.58;02-04-2006;Nassau;67410;true;3042.55;27-11-2000
Solove. Robert A Esq;19443;true;3431.18;13-01-2005;Tarrant;33014;false;6305.75;18-07-2010
Carriage House Cllsn Rpr Inc;78045;false;5943.01;01-04-2020;Lancaster;2909;true;3183.45;23-05-2020
Opryland Hotel;91362;true;3324.71;01-11-2013;Saint Louis;74105;true;6843.05;03-05-2019
Campbell. Robert A;20001;false;7714.77;27-08-2015;Providence;43402;false;4859.82;28-05-2009
New York Life John Thune;85260;true;5244.28;04-05-2013;Fairfield;60035;false;3514.53;27-08-2015
Alpenlite Inc;60604;true;7252.87;12-12-2005;Cook;94104;false;8359.33;14-05-2019
H P G Industrys Inc;33511;false;5579.35;17-04-2016;Washington;21117;false;5163.49;03-04-2006
Peace Christian Center;8014;false;9387.49;03-02-2010;Hudson;10013;false;7995.61;10-02-2010
Icn Pharmaceuticals Inc;11758;true;3244.33;02-07-2005;Atlantic;32804;true;9506.00;07-11-2007
Payne Blades & Wellborn Pa;76107;false;5183.26;22-04-2000;Providence;7304;false;7049.82;17-10-2008
