1;AD;24;AD46 0001 2030 11IF T95A LRFU;AD12 0001 2030 2003 5910 0100;false
1;AD;24;AD46 0001 2030 11IF T95A LRFU;AD12 0001 2030 2003 5910 0100;false
2;AE;23;AE74 0335 0825 8432 2431 936;AE07 0331 2345 6789 0123 456;false
1;AD;24;AD46 0001 2030 11IF T95A LRFU;AD12 0001 2030 2003 5910 0100;false
3;AL;28;AL94 2121 1009 BO5A NDEC MCF6 5CTO;AL47 2121 1009 0000 0002 3569 8741;false
4;AT;20;AT40 1904 3580 1631 6078;AT61 1904 3002 3457 3201;false
5;AZ;28;AZ09 NABZ JU2I MB5T BVOU GTRH 1JNX;AZ21 NABZ 0000 0000 1370 1000 1944;false
6;BA;20;BA39 1290 0732 5836 7403;BA39 1290 0794 0102 8494;false
7;BE;16;BE50 5398 9967 3818;BE68 5390 0754 7034;false
8;BG;22;BG56 BNBG 9661 57TF BUVG 3H;BG80 BNBG 9661 1020 3456 78;false
9;BH;22;BH06 BMAG VZHV 3LLS O562 E4;BH67 BMAG 0000 1299 1234 56;false
10;BR;29;BR60 0036 0305 0000 1468 3876 568R X;BR18 0036 0305 0000 1000 9795 493C 1;false
11;BY;28;BY04 NBRB 9415 CE6V MO1I L8LJ VB80;BY13 NBRB 3600 9000 0000 2Z00 AB00;false
12;CH;21;CH51 0076 2KM9 TIIR FYIJ D;CH93 0076 2011 6238 5295 7;false
10;BR;29;BR60 0036 0305 0000 1468 3876 568R X;BR18 0036 0305 0000 1000 9795 493C 1;false
13;CR;22;CR37 0152 8424 5177 0324 71;CR05 0152 0200 1026 2840 66;false
14;CY;28;CY92 0020 0128 OOGX EO2Y 59UI 89K5;CY17 0020 0128 0000 0012 0052 7600;false
15;CZ;24;CZ19 0800 9754 8125 4505 8359;CZ65 0800 0000 1920 0014 5399;false
16;DE;22;DE07 3704 0044 5738 1725 77;DE89 3704 0044 0532 0130 00;false
17;DK;18;DK73 0040 4292 2227 03;DK50 0040 0440 1162 43;false
18;DO;28;DO18 BAGR 2004 6077 8707 4628 6645;DO28 BAGR 0000 0001 2124 5361 1324;false
19;EE;20;EE63 2224 4835 7123 1024;EE38 2200 2210 2014 5685;false
20;EG;29;EG450019000596397962391670017;EG380019000500000000263180002;false
21;ES;24;ES71 2100 0418 4102 3290 6758;ES91 2100 0418 4502 0005 1332;false
22;FI;18;FI08 1231 0220 9425 05;FI21 1234 5600 0007 85;false
23;FO;18;FO34 6460 3845 7467 94;FO62 6460 0001 6316 34;false
24;FR;27;FR48 2004 1010 050A N8WD RGR1 X55;FR14 2004 1010 0505 0001 3M02 606;false
25;GB;22;GB15 NWBK 6016 1315 4896 45;GB29 NWBK 6016 1331 9268 19;false
26;GE;22;GE27 NB30 9297 3425 9637 30;GE29 NB00 0000 0101 9049 17;false
27;GI;23;GI17 NWBK BPN2 6HCC TXQU 354;GI75 NWBK 0000 0000 7099 453;false
28;GL;18;GL47 6471 5810 5628 89;GL89 6471 0001 0002 06;false
29;GR;27;GR07 0110 125N H1F2 G3EO 1BP0 31D;GR16 0110 1250 0000 0001 2300 695;false
30;GT;28;GT58 TRAJ HGRP W01E 1VAZ D3VR B7RB;GT82 TRAJ 0102 0000 0012 1002 9690;false
31;HR;21;HR44 1001 0055 4009 1628 0;HR12 1001 0051 8630 0016 0;false
32;HU;28;HU83 1177 3016 0400 2695 0492 4351;HU42 1177 3016 1111 1018 0000 0000;false
33;IE;22;IE67 AIBK 9311 5252 8254 22;IE29 AIBK 9311 5212 3456 78;false
34;IL;23;IL42 0108 0051 5197 9014 310;IL62 0108 0000 0009 9999 999;false
35;IQ;23;IQ22 NBIQ 8503 7035 1780 549;IQ98 NBIQ 8501 2345 6789 012;false
36;IS;26;IS91 0159 7922 7720 4338 8482 62;IS14 0159 2600 7654 5510 7303 39;false
37;IT;27;IT73 E054 2811 101K CR76 MMT2 1VV;IT60 X054 2811 1010 0000 0123 456;false
38;JO;30;JO98 CBJO 0010 BMNO UK5I 1VVF SXSJ5D;JO94 CBJO 0010 0000 0000 0131 000302;false
39;KW;30;KW72 CBKU RECM XEY9 6SQ4 5P5S 3AFP09;KW81 CBKU 0000 0000 0000 1234 560101;false
40;KZ;20;KZ65 125K YSZ9 3U60 WVIL;KZ86 125K ZT50 0410 0100;false
41;LB;28;LB25 0999 NXBZ LKOG 0PK2 9DO9 NBOF;LB62 0999 0000 0001 0019 0122 9114;false
42;LC;32;LC59 HEMM X8CJ IYTG L98H UO71 6VVP0O5Z;LC55 HEMM 0001 0001 0012 0012 00023015;false
43;LI;21;LI38 0881 0PWG DPLG 9EYE 6;LI21 0881 0000 2324 013A A;false
44;LT;20;LT32 1000 0861 2257 4964;LT12 1000 0111 0100 1000;false
45;LU;20;LU54 001M B4I7 TV3C XP5H;LU28 0019 4006 4475 0000;false
46;LV;21;LV85 BANK LWQE QQJS KS1P S;LV80 BANK 0000 4351 9500 1;false
47;MC;27;MC25 1122 2000 01EV PTVU 0JZM 547;MC58 1122 2000 0101 2345 6789 030;false
48;md;24;MD55 AGG1 U1GL 8NB6 P7YO RVNL;MD24 AG00 0225 1000 1310 4168;false
49;ME;22;ME25 5050 8771 2119 7386 74;ME25 5050 0001 2345 6789 51;false
50;MK;19;MK84 250P 9W0Z P8GA 143;MK07 2501 2000 0058 984;false
51;MR;27;MR13 0002 0001 0145 2104 8583 357;MR13 0002 0001 0100 0012 3456 753;false
52;MT;31;MT31 MALT 0110 0JGY B2AJ JBLB NR64LBB;MT84 MALT 0110 0001 2345 MTLC AST001S;false
53;MU;30;MU09 BOMM 0101 2848 4350 8359 889O MY;MU17 BOMM 0101 1010 3030 0200 000M UR;false
54;NL;18;NL69 ABNA 0613 3408 91;NL91 ABNA 0417 1643 00;false
55;NO;15;NO79 8601 8291 446;NO93 8601 1117 947;false
56;PK;24;PK04 SCBL DN9P C3XB EI9C EATZ;PK36 SCBL 0000 0011 2345 6702;false
57;PL;28;PL72 1090 1014 2436 3449 7861 9197;PL61 1090 1014 0000 0712 1981 2874;false
58;PS;29;PS44 PALS 515R EVMB BXZH R21V 38P7 B;PS92 PALS 0000 0000 0400 1234 5670 2;false
59;PT;25;PT50 0002 0123 7023 9160 2634 2;PT50 0002 0123 1234 5678 9015 4;false
60;QA;29;QA02 DOHB WAY8 CF0Z IVRF 2B3H OUJH 9;QA58 DOHB 0000 1234 5678 90AB CDEF G;false
61;RO;24;RO58 AAAA MMFC HP5V JBSJ W0GH;RO49 AAAA 1B31 0075 9384 0000;false
62;RS;22;RS35 2603 0448 2581 8762 03;RS35 2600 0560 1001 6113 79;false
