1;AD;24;AD69 0001 2030 RA6A HZBW 60XV;AD12 0001 2030 2003 5910 0100;false
1;AD;24;AD69 0001 2030 RA6A HZBW 60XV;AD12 0001 2030 2003 5910 0100;false
2;AE;23;AE25 0335 6136 8047 5768 443;AE07 0331 2345 6789 0123 456;false
1;AD;24;AD69 0001 2030 RA6A HZBW 60XV;AD12 0001 2030 2003 5910 0100;false
3;AL;28;AL42 2121 1009 HF6I GXSO O7E9 CB7C;AL47 2121 1009 0000 0002 3569 8741;false
4;AT;20;AT06 1904 3063 1020 5178;AT61 1904 3002 3457 3201;false
5;AZ;28;AZ81 NABZ 5PEV ALL5 1SLX NCUL 8XD7;AZ21 NABZ 0000 0000 1370 1000 1944;false
6;BA;20;BA39 1290 0788 7341 8140;BA39 1290 0794 0102 8494;false
7;BE;16;BE72 5395 3402 2416;BE68 5390 0754 7034;false
8;BG;22;BG46 BNBG 9661 396M 33BI Y3;BG80 BNBG 9661 1020 3456 78;false
9;BH;22;BH26 BMAG EAGC V5OX AC8H OH;BH67 BMAG 0000 1299 1234 56;false
10;BR;29;BR08 0036 0305 0000 1610 6993 214Q Z;BR18 0036 0305 0000 1000 9795 493C 1;false
11;BY;28;BY39 NBRB 6943 JC9X 1UJC SDGO 9Z0M;BY13 NBRB 3600 9000 0000 2Z00 AB00;false
12;CH;21;CH52 0076 2K7X Q19O 3LTJ C;CH93 0076 2011 6238 5295 7;false
10;BR;29;BR08 0036 0305 0000 1610 6993 214Q Z;BR18 0036 0305 0000 1000 9795 493C 1;false
13;CR;22;CR92 0152 9631 7513 7306 62;CR05 0152 0200 1026 2840 66;false
14;CY;28;CY87 0020 0128 OWM4 LK1K AZI9 E1CD;CY17 0020 0128 0000 0012 0052 7600;false
15;CZ;24;CZ97 0800 3092 5144 0603 8541;CZ65 0800 0000 1920 0014 5399;false
16;DE;22;DE12 3704 0044 2140 8449 40;DE89 3704 0044 0532 0130 00;false
17;DK;18;DK32 0040 0868 0416 70;DK50 0040 0440 1162 43;false
18;DO;28;DO79 BAGR 1182 6269 3973 2405 1262;DO28 BAGR 0000 0001 2124 5361 1324;false
19;EE;20;EE25 2277 7754 3631 9872;EE38 2200 2210 2014 5685;false
20;EG;29;EG190019000552707899165428335;EG380019000500000000263180002;false
21;ES;24;ES13 2100 0418 4945 6971 2808;ES91 2100 0418 4502 0005 1332;false
22;FI;18;FI31 1233 2243 2922 77;FI21 1234 5600 0007 85;false
23;FO;18;FO70 6460 7898 7969 59;FO62 6460 0001 6316 34;false
24;FR;27;FR91 2004 1010 05CA OBWJ KJTO P48;FR14 2004 1010 0505 0001 3M02 606;false
25;GB;22;GB27 NWBK 6016 1392 3318 59;GB29 NWBK 6016 1331 9268 19;false
26;GE;22;GE30 NB15 7218 1197 1605 72;GE29 NB00 0000 0101 9049 17;false
27;GI;23;GI31 NWBK ZII8 GW9H SVIT IXE;GI75 NWBK 0000 0000 7099 453;false
28;GL;18;GL40 6471 8669 2207 21;GL89 6471 0001 0002 06;false
29;GR;27;GR28 0110 1253 PG80 WSD9 XSF6 MH6;GR16 0110 1250 0000 0001 2300 695;false
30;GT;28;GT34 TRAJ 93GA IRGJ EUR3 17RU 8RLU;GT82 TRAJ 0102 0000 0012 1002 9690;false
31;HR;21;HR25 1001 0054 2047 5656 3;HR12 1001 0051 8630 0016 0;false
32;HU;28;HU77 1177 3016 8574 9519 8968 3370;HU42 1177 3016 1111 1018 0000 0000;false
33;IE;22;IE22 AIBK 9311 5278 0657 29;IE29 AIBK 9311 5212 3456 78;false
34;IL;23;IL56 0108 0003 7160 1156 714;IL62 0108 0000 0009 9999 999;false
35;IQ;23;IQ39 NBIQ 8501 9751 8853 008;IQ98 NBIQ 8501 2345 6789 012;false
36;IS;26;IS72 0159 4583 0954 7444 2734 64;IS14 0159 2600 7654 5510 7303 39;false
37;IT;27;IT38 D054 2811 1018 RRKO WAEL M8S;IT60 X054 2811 1010 0000 0123 456;false
38;JO;30;JO84 CBJO 0010 Y8Q3 4ALR 0DQ0 C6HZNE;JO94 CBJO 0010 0000 0000 0131 000302;false
39;KW;30;KW75 CBKU 96N0 36ZA F4F3 7ND7 7DVESD;KW81 CBKU 0000 0000 0000 1234 560101;false
40;KZ;20;KZ42 1259 XWD1 C327 9KC1;KZ86 125K ZT50 0410 0100;false
41;LB;28;LB25 0999 KK2A BQRF 26UF MT06 K1BA;LB62 0999 0000 0001 0019 0122 9114;false
42;LC;32;LC05 HEMM UDMY 7A42 SBYB RONU JCB71APS;LC55 HEMM 0001 0001 0012 0012 00023015;false
43;LI;21;LI90 0881 0HHW LC0E TWQ4 3;LI21 0881 0000 2324 013A A;false
44;LT;20;LT34 1000 0613 6350 4863;LT12 1000 0111 0100 1000;false
45;LU;20;LU49 001S O0CJ QH8R HV5T;LU28 0019 4006 4475 0000;false
46;LV;21;LV12 BANK G6LD 4IEI 9HCU Z;LV80 BANK 0000 4351 9500 1;false
47;MC;27;MC68 1122 2000 01E7 QEV9 H16K Z78;MC58 1122 2000 0101 2345 6789 030;false
48;md;24;MD06 AGAB FU61 0OGU M6S0 XPSC;MD24 AG00 0225 1000 1310 4168;false
49;ME;22;ME25 5055 3497 3909 7457 75;ME25 5050 0001 2345 6789 51;false
50;MK;19;MK69 2500 9OLR MSER S59;MK07 2501 2000 0058 984;false
51;MR;27;MR13 0002 0001 0170 3903 3460 611;MR13 0002 0001 0100 0012 3456 753;false
52;MT;31;MT11 MALT 0110 0Z0J AOEL SCZ9 FQLL36B;MT84 MALT 0110 0001 2345 MTLC AST001S;false
53;MU;30;MU95 BOMM 0101 4286 0598 8650 665I GY;MU17 BOMM 0101 1010 3030 0200 000M UR;false
54;NL;18;NL81 ABNA 3439 7106 70;NL91 ABNA 0417 1643 00;false
55;NO;15;NO03 8601 9297 928;NO93 8601 1117 947;false
56;PK;24;PK96 SCBL 0ID9 8IB5 V2IX WV1P;PK36 SCBL 0000 0011 2345 6702;false
57;PL;28;PL03 1090 1014 5814 9349 3494 6379;PL61 1090 1014 0000 0712 1981 2874;false
58;PS;29;PS03 PALS 0NXI HU9Y 9XQX X1AR T2AQ F;PS92 PALS 0000 0000 0400 1234 5670 2;false
59;PT;25;PT50 0002 0123 3909 7179 3473 7;PT50 0002 0123 1234 5678 9015 4;false
60;QA;29;QA23 DOHB CEAP R216 V9LH EYE8 EJLA 3;QA58 DOHB 0000 1234 5678 90AB CDEF G;false
61;RO;24;RO58 AAAA 4CMR W3FY B61Y SGVZ;RO49 AAAA 1B31 0075 9384 0000;false
62;RS;22;RS35 2601 9791 5003 6806 77;RS35 2600 0560 1001 6113 79;false
63;SA;24;SA33 80AL S56U 0O6I SXTO N08L;SA03 8000 0000 6080 1016 7519;false
64;SC;31;SC89 SSCB 1101 6814 8337 7888 6777 ARK;SC18 SSCB 1101 0000 0000 0000 1497 USD;false
65;SE;24;SE19 5007 0077 5545 5506 6968;SE45 5000 0000 0583 9825 7466;false
66;SI;19;SI56 2633 0210 5015 555;SI56 2633 0001 2039 086;false
67;SK;24;SK42 1200 0549 4993 7763 9390;SK31 1200 0000 1987 4263 7541;false
68;SM;27;SM12 Y032 2509 800I M0PS 8E8O 38J;SM86 U032 2509 8000 0000 0270 100;false
69;ST;25;ST78 0001 0001 5663 0427 2978 9;ST23 0001 0001 0051 8453 1014 6;false
70;SV;28;SV 79 CENR 15696823859241910689;SV 62 CENR 00000000000000700025;false
71;TL;23;TL38 0083 4474 8575 5750 968;TL38 0080 0123 4567 8910 157;false
72;TN;24;TN59 1000 6191 6281 1085 3003;TN59 1000 6035 1835 9847 8831;false
73;TR;26;TR20 0006 12ZR 4WNH 7CDO P9PT TD;TR33 0006 1005 1978 6457 8413 26;false
77;XK;20;XK32 1212 3201 6636 0441;XK05 1212 0123 4567 8906;false
74;UA;29;UA73 3223 13ID C910 SZLE LCYD IQEN 6;UA21 3223 1300 0002 6007 2335 6600 1;false
75;VA;22;VA73 001 5760 8489 0847 368;VA59 001 1230 0001 2345 678;false
76;VG;24;VG26 VPVG 5199 3838 5756 3814;VG96 VPVG 0000 0123 4567 8901;false
77;XK;20;XK32 1212 3201 6636 0441;XK05 1212 0123 4567 8906;false
77;XK;20;XK32 1212 3201 6636 0441;XK05 1212 0123 4567 8906;false
77;XK;20;XK32 1212 3201 6636 0441;XK05 1212 0123 4567 8906;false
78;us;;3321427334501314003;0910000196564833713;false
79;us;;6627592654762;4561239550000;false
80;us;;809838994173620996472667785;123456780123456789123456789;false
81;us;;3321427334501314003;0910000196564833713;false
