1;AD;24;AD12 0001 2030 2003 5910 0100;AD12 0001 2030 2003 5910 0100
1;AD;24;AD12 0001 2030 2003 5910 0100;AD12 0001 2030 2003 5910 0100
2;AE;23;AE07 0331 2345 6789 0123 456;AE07 0331 2345 6789 0123 456
1;AD;24;AD12 0001 2030 2003 5910 0100;AD12 0001 2030 2003 5910 0100
3;AL;28;AL47 2121 1009 0000 0002 3569 8741;AL47 2121 1009 0000 0002 3569 8741
4;AT;20;AT61 1904 3002 3457 3201;AT61 1904 3002 3457 3201
5;AZ;28;AZ21 NABZ 0000 0000 1370 1000 1944;AZ21 NABZ 0000 0000 1370 1000 1944
6;BA;20;BA39 1290 0794 0102 8494;BA39 1290 0794 0102 8494
7;BE;16;BE68 5390 0754 7034;BE68 5390 0754 7034
8;BG;22;BG80 BNBG 9661 1020 3456 78;BG80 BNBG 9661 1020 3456 78
9;BH;22;BH67 BMAG 0000 1299 1234 56;BH67 BMAG 0000 1299 1234 56
10;BR;29;BR18 0036 0305 0000 1000 9795 493C 1;BR18 0036 0305 0000 1000 9795 493C 1
11;BY;28;BY13 NBRB 3600 9000 0000 2Z00 AB00;BY13 NBRB 3600 9000 0000 2Z00 AB00
12;CH;21;CH93 0076 2011 6238 5295 7;CH93 0076 2011 6238 5295 7
10;BR;29;BR18 0036 0305 0000 1000 9795 493C 1;BR18 0036 0305 0000 1000 9795 493C 1
13;CR;22;CR05 0152 0200 1026 2840 66;CR05 0152 0200 1026 2840 66
14;CY;28;CY17 0020 0128 0000 0012 0052 7600;CY17 0020 0128 0000 0012 0052 7600
15;CZ;24;CZ65 0800 0000 1920 0014 5399;CZ65 0800 0000 1920 0014 5399
16;DE;22;DE89 3704 0044 0532 0130 00;DE89 3704 0044 0532 0130 00
17;DK;18;DK50 0040 0440 1162 43;DK50 0040 0440 1162 43
18;DO;28;DO28 BAGR 0000 0001 2124 5361 1324;DO28 BAGR 0000 0001 2124 5361 1324
19;EE;20;EE38 2200 2210 2014 5685;EE38 2200 2210 2014 5685
20;EG;29;EG380019000500000000263180002;EG380019000500000000263180002
21;ES;24;ES91 2100 0418 4502 0005 1332;ES91 2100 0418 4502 0005 1332
22;FI;18;FI21 1234 5600 0007 85;FI21 1234 5600 0007 85
23;FO;18;FO62 6460 0001 6316 34;FO62 6460 0001 6316 34
24;FR;27;FR14 2004 1010 0505 0001 3M02 606;FR14 2004 1010 0505 0001 3M02 606
25;GB;22;GB29 NWBK 6016 1331 9268 19;GB29 NWBK 6016 1331 9268 19
26;GE;22;GE29 NB00 0000 0101 9049 17;GE29 NB00 0000 0101 9049 17
27;GI;23;GI75 NWBK 0000 0000 7099 453;GI75 NWBK 0000 0000 7099 453
28;GL;18;GL89 6471 0001 0002 06;GL89 6471 0001 0002 06
29;GR;27;GR16 0110 1250 0000 0001 2300 695;GR16 0110 1250 0000 0001 2300 695
30;GT;28;GT82 TRAJ 0102 0000 0012 1002 9690;GT82 TRAJ 0102 0000 0012 1002 9690
31;HR;21;HR12 1001 0051 8630 0016 0;HR12 1001 0051 8630 0016 0
32;HU;28;HU42 1177 3016 1111 1018 0000 0000;HU42 1177 3016 1111 1018 0000 0000
33;IE;22;IE29 AIBK 9311 5212 3456 78;IE29 AIBK 9311 5212 3456 78
34;IL;23;IL62 0108 0000 0009 9999 999;IL62 0108 0000 0009 9999 999
35;IQ;23;IQ98 NBIQ 8501 2345 6789 012;IQ98 NBIQ 8501 2345 6789 012
36;IS;26;IS14 0159 2600 7654 5510 7303 39;IS14 0159 2600 7654 5510 7303 39
37;IT;27;IT60 X054 2811 1010 0000 0123 456;IT60 X054 2811 1010 0000 0123 456
38;JO;30;JO94 CBJO 0010 0000 0000 0131 000302;JO94 CBJO 0010 0000 0000 0131 000302
39;KW;30;KW81 CBKU 0000 0000 0000 1234 560101;KW81 CBKU 0000 0000 0000 1234 560101
40;KZ;20;KZ86 125K ZT50 0410 0100;KZ86 125K ZT50 0410 0100
41;LB;28;LB62 0999 0000 0001 0019 0122 9114;LB62 0999 0000 0001 0019 0122 9114
42;LC;32;LC55 HEMM 0001 0001 0012 0012 00023015;LC55 HEMM 0001 0001 0012 0012 00023015
43;LI;21;LI21 0881 0000 2324 013A A;LI21 0881 0000 2324 013A A
44;LT;20;LT12 1000 0111 0100 1000;LT12 1000 0111 0100 1000
45;LU;20;LU28 0019 4006 4475 0000;LU28 0019 4006 4475 0000
46;LV;21;LV80 BANK 0000 4351 9500 1;LV80 BANK 0000 4351 9500 1
47;MC;27;MC58 1122 2000 0101 2345 6789 030;MC58 1122 2000 0101 2345 6789 030
48;md;24;MD24 AG00 0225 1000 1310 4168;MD24 AG00 0225 1000 1310 4168
49;ME;22;ME25 5050 0001 2345 6789 51;ME25 5050 0001 2345 6789 51
50;MK;19;MK07 2501 2000 0058 984;MK07 2501 2000 0058 984
51;MR;27;MR13 0002 0001 0100 0012 3456 753;MR13 0002 0001 0100 0012 3456 753
52;MT;31;MT84 MALT 0110 0001 2345 MTLC AST001S;MT84 MALT 0110 0001 2345 MTLC AST001S
53;MU;30;MU17 BOMM 0101 1010 3030 0200 000M UR;MU17 BOMM 0101 1010 3030 0200 000M UR
54;NL;18;NL91 ABNA 0417 1643 00;NL91 ABNA 0417 1643 00
55;NO;15;NO93 8601 1117 947;NO93 8601 1117 947
56;PK;24;PK36 SCBL 0000 0011 2345 6702;PK36 SCBL 0000 0011 2345 6702
57;PL;28;PL61 1090 1014 0000 0712 1981 2874;PL61 1090 1014 0000 0712 1981 2874
58;PS;29;PS92 PALS 0000 0000 0400 1234 5670 2;PS92 PALS 0000 0000 0400 1234 5670 2
59;PT;25;PT50 0002 0123 1234 5678 9015 4;PT50 0002 0123 1234 5678 9015 4
60;QA;29;QA58 DOHB 0000 1234 5678 90AB CDEF G;QA58 DOHB 0000 1234 5678 90AB CDEF G
61;RO;24;RO49 AAAA 1B31 0075 9384 0000;RO49 AAAA 1B31 0075 9384 0000
62;RS;22;RS35 2600 0560 1001 6113 79;RS35 2600 0560 1001 6113 79
63;SA;24;SA03 8000 0000 6080 1016 7519;SA03 8000 0000 6080 1016 7519
64;SC;31;SC18 SSCB 1101 0000 0000 0000 1497 USD;SC18 SSCB 1101 0000 0000 0000 1497 USD
65;SE;24;SE45 5000 0000 0583 9825 7466;SE45 5000 0000 0583 9825 7466
66;SI;19;SI56 2633 0001 2039 086;SI56 2633 0001 2039 086
67;SK;24;SK31 1200 0000 1987 4263 7541;SK31 1200 0000 1987 4263 7541
68;SM;27;SM86 U032 2509 8000 0000 0270 100;SM86 U032 2509 8000 0000 0270 100
69;ST;25;ST23 0001 0001 0051 8453 1014 6;ST23 0001 0001 0051 8453 1014 6
70;SV;28;SV 62 CENR 00000000000000700025;SV 62 CENR 00000000000000700025
71;TL;23;TL38 0080 0123 4567 8910 157;TL38 0080 0123 4567 8910 157
72;TN;24;TN59 1000 6035 1835 9847 8831;TN59 1000 6035 1835 9847 8831
73;TR;26;TR33 0006 1005 1978 6457 8413 26;TR33 0006 1005 1978 6457 8413 26
77;XK;20;XK05 1212 0123 4567 8906;XK05 1212 0123 4567 8906
