id;cardNumber1;cardNumber2;description;ORIGINAL_MARK
1;;;invalid check digit;false
2;203 275016715;203275016715;valid;false
3;;;invalid check digit;false
4;;;invalid length<12;false
5;;;empty;false
6;;;only character;false
7;;;null value;false
8;4577825917105163027;4577825917105163027;valid length=19;false
9;2032 7501 6715;203275016715; same with id=2, different format;false
10;441174472028331;441174472028331;valid length=15;false
11;;;invalid:length=20;false
12;2032 75016715;203275016715;valid,same with id=2, different format;false
13;;;invalid;false
15;;;invalid length>19;false
16;5410-1473-77598;5410147377598;valid;false
17;;;invliad;false
18;0119   9892   58676;0119989258676;valid;false
19;0/1/1/9/9/8/9/2/5/8/6/7/6;0119989258676;valid;false
20;0119989258676;0119989258676;valid;false
21;;;only spaces;false
