id;cardNumber1;cardNumber2;description;ORIGINAL_MARK
1;;;invalid check digit;false
2;274 266736157;274266736157;valid;false
3;;;invalid check digit;false
4;;;invalid length<12;false
5;;;empty;false
6;;;only character;false
7;;;null value;false
8;6405649910814063568;6405649910814063568;valid length=19;false
9;2742 6673 6157;274266736157; same with id=2, different format;false
10;196433989404220;196433989404220;valid length=15;false
11;;;invalid:length=20;false
12;2742 66736157;274266736157;valid,same with id=2, different format;false
13;;;invalid;false
15;;;invalid length>19;false
16;3458-4887-44480;3458488744480;valid;false
17;;;invliad;false
18;6395   6791   55703;6395679155703;valid;false
19;6/3/9/5/6/7/9/1/5/5/7/0/3;6395679155703;valid;false
20;6395679155703;6395679155703;valid;false
21;;;only spaces;false
