id;cardNumber1;cardNumber2;description;ORIGINAL_MARK
1;;;invalid check digit;false
2;270 360446131;270360446131;valid;false
3;;;invalid check digit;false
4;;;invalid length<12;false
5;;;empty;false
6;;;only character;false
7;;;null value;false
8;4224244090370280140;4224244090370280140;valid length=19;false
9;2703 6044 6131;270360446131; same with id=2, different format;false
10;037036046662996;037036046662996;valid length=15;false
11;;;invalid:length=20;false
12;2703 60446131;270360446131;valid,same with id=2, different format;false
13;;;invalid;false
15;;;invalid length>19;false
16;3703-6046-39563;3703604639563;valid;false
17;;;invliad;false
18;4703   6046   39562;4703604639562;valid;false
19;4/7/0/3/6/0/4/6/3/9/5/6/2;4703604639562;valid;false
20;4703604639562;4703604639562;valid;false
21;;;only spaces;false
