id;cardNumber1;cardNumber2;description;ORIGINAL_MARK
1;;;invalid check digit;false
2;423 456978877;423456978877;valid;false
3;;;invalid check digit;false
4;;;invalid length<12;false
5;;;empty;false
6;;;only character;false
7;;;null value;false
8;7894565748219979572;7894565748219979572;valid length=19;false
9;4234 5697 8877;423456978877; same with id=2, different format;false
10;012345602925336;012345602925336;valid length=15;false
11;;;invalid:length=20;false
12;4234 56978877;423456978877;valid,same with id=2, different format;false
13;;;invalid;false
15;;;invalid length>19;false
16;1234-5663-79685;1234566379685;valid;false
17;;;invliad;false
18;8234   5663   79688;8234566379688;valid;false
19;8/2/3/4/5/6/6/3/7/9/6/8/8;8234566379688;valid;false
20;8234566379688;8234566379688;valid;false
21;;;only spaces;false
