id;cardNumber1;cardNumber2;description;ORIGINAL_MARK
1;;;invalid check digit;false
2;423 456191299;423456191299;valid;false
3;;;invalid check digit;false
4;;;invalid length<12;false
5;;;empty;false
6;;;only character;false
7;;;null value;false
8;7894568468448504763;7894568468448504763;valid length=19;false
9;4234 5619 1299;423456191299; same with id=2, different format;false
10;012345567681833;012345567681833;valid length=15;false
11;;;invalid:length=20;false
12;4234 56191299;423456191299;valid,same with id=2, different format;false
13;;;invalid;false
15;;;invalid length>19;false
16;1234-5687-16652;1234568716652;valid;false
17;;;invliad;false
18;8234   5687   16655;8234568716655;valid;false
19;8/2/3/4/5/6/8/7/1/6/6/5/5;8234568716655;valid;false
20;8234568716655;8234568716655;valid;false
21;;;only spaces;false
