id;cardNumber1;cardNumber2;description;ORIGINAL_MARK
1;;;invalid check digit;false
2;423 456446131;423456446131;valid;false
3;;;invalid check digit;false
4;;;invalid length<12;false
5;;;empty;false
6;;;only character;false
7;;;null value;false
8;7894564090370280149;7894564090370280149;valid length=19;false
9;4234 5644 6131;423456446131; same with id=2, different format;false
10;012345046662990;012345046662990;valid length=15;false
11;;;invalid:length=20;false
12;4234 56446131;423456446131;valid,same with id=2, different format;false
13;;;invalid;false
15;;;invalid length>19;false
16;1234-5646-39569;1234564639569;valid;false
17;;;invliad;false
18;8234   5646   39562;8234564639562;valid;false
19;8/2/3/4/5/6/4/6/3/9/5/6/2;8234564639562;valid;false
20;8234564639562;8234564639562;valid;false
21;;;only spaces;false
