1;12345678910;123;FR68 4435 9619 2077 0Y56 9Y5S P33;FR68 4435 9619 2077 0Y56 9Y5S P33;FR24/8958 1245 31I7 N964 3ZZC E72;true
1;08615388621;;FR68 4435 9619 2077 0Y56 9Y5S P33;FR61 5162 8416 33BP T7YM WMU7 W59;;false
2;123-456-789-11;1234 5678 921;FR89-3365-5061-6726-K6X5-XH47-I59;FR68/4435/9619/2077/0Y56/9Y5S/P33;FR89 3365 5061 6726 K6X5 XH47 I59;true
2;67315319066;12685180190;FR89-3365-5061-6726-K6X5-XH47-I59;FR61/5162/8416/33BP/T7YM/WMU7/W59;FR41 9908 8236 26WD 2PVF SJC5 558;false
3;;;FR44 6884 4805 39CZ M27O W5OQ 461;FR68 4435 9619 2077 0Y56 9Y5S P33;;true
3;;;FR44 6884 4805 39CZ M27O W5OQ 461;FR61 5162 8416 33BP T7YM WMU7 W59;;false
4;12345678914;12345678924;FR47 3933 3341 0391 I2D7 5TX0 845;;;true
4;73438511176;14772057553;FR47 3933 3341 0391 I2D7 5TX0 845;;;false
5;12345678915;15;;AE94 0261 8463 8414 2595 964;MC23 5756 9171 832H 2GH0 ADNK L04;true
5;50943780758;;;AE04 6997 2013 6733 8715 335;MC53 7165 4210 73D3 BA4K UUJB C76;false
6;;;FR30 4929 0944 080E 0EU6 2688 542;;;true
6;;;FR30 4929 0944 080E 0EU6 2688 542;;;false
7;12345678917;17;FR25 8958 1245 31I7 N964 3ZZC E72;MC23 5756 9171 832H 2GH0 ADNK L04;AD07 8627 0018 8NK6 HA99 257F;true
7;13659540612;;FR25 8958 1245 31I7 N964 3ZZC E72;MC53 7165 4210 73D3 BA4K UUJB C76;AD77 5864 5908 2WSK 79TH 79RL;false
8;;;;FR08 3507 1114 94B6 H46V VG17 O96;;true
8;;;;FR46 1423 6861 12VO BTCE K059 W44;;false
9;123//45678919;123456789//29;FR25 8958 1245 31I7 N964 3ZZC E72;AE68--5769 4485 0229 6792 437;MC81/0623 9915 8255 P226 R6YI 810;true
9;72486040415;75094287907;FR25 8958 1245 31I7 N964 3ZZC E72;AE50--6635 4637 5670 6595 692;MC84/9226 4248 313O OZYD U9PA L18;false
10;123--45678920;12345--678921;FR25/8958 1245 31I7 N964 3ZZC E72;AAAAA;;true
10;84391613148;12685180190;FR25/8958 1245 31I7 N964 3ZZC E72;;;false
11;12345678917;12345678918;FR25/8958 1245 31I7 N964 3ZZC E72;FR95/8958 1245 31I7 N964 3ZZC E73;AE68--5769 4485 0229 6792 437;true
11;13659540612;46974668417;FR25/8958 1245 31I7 N964 3ZZC E72;;AE50--6635 4637 5670 6595 692;false
12;13;12345678999;CZ65 0800 0000 1920 0014 5399;MC23 5756 9171 832H 2GH0 ADNK L04;AD07 8627 0018 8NK6 HA99 257F;true
12;;44679046615;CZ65 0800 0000 1920 0014 5399;MC53 7165 4210 73D3 BA4K UUJB C76;AD77 5864 5908 2WSK 79TH 79RL;false
13;;;DK50 0040 0440 1162 43;DO28 BAGR 0000 0001 2124 5361 1324;EE38 2200 2210 2014 5685;true
13;;;DK50 0040 0440 1162 43;DO09 X306 5941 6471 5267 3073 2411;EE46 8217 9365 1456 7620;false
14;123/456/789/11;1234-5678-921;FR89336550616726K6X5XH47I59;FR68-4435-9619-2077-0Y56-9Y5S-P33;FR89/3365/5061/6726/K6X5/XH47/I59;true
14;67315319066;12685180190;FR89336550616726K6X5XH47I59;FR61-5162-8416-33BP-T7YM-WMU7-W59;FR41/9908/8236/26WD/2PVF/SJC5/558;false
15;;;ABC;FR89336550616726K6X5XH47I59;def;true
15;;;ABC;FR419908823626WD2PVFSJC5558;;false
