1;12345678910;123;FR68 4435 9619 2077 0Y56 9Y5S P33;FR68 4435 9619 2077 0Y56 9Y5S P33;FR24/8958 1245 31I7 N964 3ZZC E72;ssn2,iban3
3;;;FR44 6884 4805 39CZ M27O W5OQ 461;FR68 4435 9619 2077 0Y56 9Y5S P33;;ssn1,ssn2,iban3
4;12345678914;12345678924;FR47 3933 3341 0391 I2D7 5TX0 845;;;iban2,iban3
5;12345678915;15;;AE94 0261 8463 8414 2595 964;MC23 5756 9171 832H 2GH0 ADNK L04;ssn2
6;;;FR30 4929 0944 080E 0EU6 2688 542;;;ssn1,ssn2,iban2,iban3
7;12345678917;17;FR25 8958 1245 31I7 N964 3ZZC E72;MC23 5756 9171 832H 2GH0 ADNK L04;AD07 8627 0018 8NK6 HA99 257F;ssn2
8;;;;FR08 3507 1114 94B6 H46V VG17 O96;;ssn1,ssn2,iban3
10;123--45678920;12345--678921;FR25/8958 1245 31I7 N964 3ZZC E72;AAAAA;;iban2,iban3
11;12345678917;12345678918;FR25/8958 1245 31I7 N964 3ZZC E72;FR95/8958 1245 31I7 N964 3ZZC E73;AE68--5769 4485 0229 6792 437;iban2
12;13;12345678999;CZ65 0800 0000 1920 0014 5399;MC23 5756 9171 832H 2GH0 ADNK L04;AD07 8627 0018 8NK6 HA99 257F;ssn1
13;;;DK50 0040 0440 1162 43;DO28 BAGR 0000 0001 2124 5361 1324;EE38 2200 2210 2014 5685;ssn1,ssn2
15;;;ABC;FR89336550616726K6X5XH47I59;def;ssn1,ssn2,iban3
