1;;;invalid check digit;false
2;423 456789019;423456789019;valid;false
3;;;invalid check digit;false
4;;;invalid length<12;false
5;;;empty;false
6;;;only character;false
7;;;null value;false
8;  7894561230123456785;;;false
9;4234 5678 9019;423456789019; same with id=2, different format;false
10;012345678901237;012345678901237;valid length=15;false
11;;;invalid:length=20;false
12;4234 56789019;423456789019;valid,same with id=2, different format;false
13;;;invalid;false
14;;;;false
15;;;invalid length>19;false
16;1234-5678-90128;1234567890128;valid;false
17;;;invliad;false
18;8234   5678   90121;8234567890121;valid;false
19;8/2/3/4/5/6/7/8/9/0/1/2/1;8234567890121;valid;false
20;8234567890121;8234567890121;valid;false
21;;;only spaces;false
