1;12345678910;123;FR68 4435 9619 2077 0Y56 9Y5S P33;FR68 4435 9619 2077 0Y56 9Y5S P33;FR24/8958 1245 31I7 N964 3ZZC E72;true
1;58542079127;;FR68 4435 9619 2077 0Y56 9Y5S P33;FR45 8340 1157 63AU AL0F ZLYW 387;;false
2;123-456-789-11;1234 5678 921;FR89-3365-5061-6726-K6X5-XH47-I59;FR68/4435/9619/2077/0Y56/9Y5S/P33;FR89 3365 5061 6726 K6X5 XH47 I59;true
2;37358267470;44440209336;FR89-3365-5061-6726-K6X5-XH47-I59;FR45/8340/1157/63AU/AL0F/ZLYW/387;FR41 1491 7699 98JU KVO7 HI8U 029;false
3;;;FR44 6884 4805 39CZ M27O W5OQ 461;FR68 4435 9619 2077 0Y56 9Y5S P33;;true
3;;;FR44 6884 4805 39CZ M27O W5OQ 461;FR45 8340 1157 63AU AL0F ZLYW 387;;false
4;12345678914;12345678924;FR47 3933 3341 0391 I2D7 5TX0 845;;;true
4;56122349731;63674592583;FR47 3933 3341 0391 I2D7 5TX0 845;;;false
5;12345678915;15;;AE94 0261 8463 8414 2595 964;MC23 5756 9171 832H 2GH0 ADNK L04;true
5;88092861172;;;AE32 6517 1281 3658 3868 487;MC73 1981 6142 568O I9RJ MBZ3 C50;false
6;;;FR30 4929 0944 080E 0EU6 2688 542;;;true
6;;;FR30 4929 0944 080E 0EU6 2688 542;;;false
7;12345678917;17;FR25 8958 1245 31I7 N964 3ZZC E72;MC23 5756 9171 832H 2GH0 ADNK L04;AD07 8627 0018 8NK6 HA99 257F;true
7;49522906916;;FR25 8958 1245 31I7 N964 3ZZC E72;MC73 1981 6142 568O I9RJ MBZ3 C50;AD50 3852 5070 6Q87 88TF MH0X;false
8;;;;FR08 3507 1114 94B6 H46V VG17 O96;;true
8;;;;FR90 9866 9303 83RY W5QE 2LZ8 V01;;false
9;123//45678919;123456789//29;FR25 8958 1245 31I7 N964 3ZZC E72;AE68--5769 4485 0229 6792 437;MC81/0623 9915 8255 P226 R6YI 810;true
9;20133363028;76351247776;FR25 8958 1245 31I7 N964 3ZZC E72;AE55--8556 0712 9167 3068 121;MC53/4311 3396 25FQ P1ZP FN1L D28;false
10;123--45678920;12345--678921;FR25/8958 1245 31I7 N964 3ZZC E72;AAAAA;;true
10;36771944849;44440209336;FR25/8958 1245 31I7 N964 3ZZC E72;;;false
11;12345678917;12345678918;FR25/8958 1245 31I7 N964 3ZZC E72;FR95/8958 1245 31I7 N964 3ZZC E73;AE68--5769 4485 0229 6792 437;true
11;49522906916;04431832270;FR25/8958 1245 31I7 N964 3ZZC E72;;AE55--8556 0712 9167 3068 121;false
12;13;12345678999;CZ65 0800 0000 1920 0014 5399;MC23 5756 9171 832H 2GH0 ADNK L04;AD07 8627 0018 8NK6 HA99 257F;true
12;;92475597098;CZ65 0800 0000 1920 0014 5399;MC73 1981 6142 568O I9RJ MBZ3 C50;AD50 3852 5070 6Q87 88TF MH0X;false
13;;;DK50 0040 0440 1162 43;DO28 BAGR 0000 0001 2124 5361 1324;EE38 2200 2210 2014 5685;true
13;;;DK50 0040 0440 1162 43;DO29 L7GM 5932 9746 1795 1623 7708;EE33 1643 8514 2655 1747;false
14;123/456/789/11;1234-5678-921;FR89336550616726K6X5XH47I59;FR68-4435-9619-2077-0Y56-9Y5S-P33;FR89/3365/5061/6726/K6X5/XH47/I59;true
14;37358267470;44440209336;FR89336550616726K6X5XH47I59;FR45-8340-1157-63AU-AL0F-ZLYW-387;FR41/1491/7699/98JU/KVO7/HI8U/029;false
15;;;ABC;FR89336550616726K6X5XH47I59;def;true
15;;;ABC;FR411491769998JUKVO7HI8U029;;false
