1;Jackson;90;18-02-2007
2;Van Buren;31;22-05-2008
3;Clinton;27;17-04-2007
4;Truman;81;31-12-2008
5;Nixon;1;16-10-2008
6;Nixon;26;01-04-2007
7;Grant;92;23-04-2008
8;Nixon;17;29-07-2007
9;Buchanan;40;14-07-2007
10;Taylor;88;21-03-2008
11;Coolidge;29;26-09-2007
12;Monroe;48;27-03-2008
13;Roosevelt;35;06-02-2007
14;Madison;64;27-03-2008
15;Buchanan;50;16-03-2008
16;Jefferson;97;23-08-2008
17;Harrison;100;18-11-2007
18;Cleveland;17;07-05-2007
19;Madison;99;30-05-2007
20;Truman;95;13-03-2008
21;Hoover;42;11-06-2008
22;Grant;22;20-08-2007
23;Johnson;36;31-08-2008
24;Jefferson;54;29-01-2007
25;Washington;83;08-05-2007
26;Truman;17;19-12-2008
27;Clinton;10;08-09-2008
28;Adams;74;01-06-2007
29;Fillmore;63;21-06-2007
30;Tyler;20;03-08-2007
31;Johnson;53;09-02-2008
32;Carter;47;06-04-2007
33;Reagan;75;24-02-2007
34;Madison;65;09-05-2008
35;Grant;44;01-02-2008
36;Johnson;23;22-01-2007
37;Eisenhower;51;11-02-2008
38;Hayes;27;07-12-2008
39;Eisenhower;66;28-09-2008
40;Nixon;64;04-07-2008
41;Truman;100;28-12-2007
42;Johnson;96;05-12-2007
43;Adams;16;26-08-2008
44;Van Buren;88;21-07-2007
45;Fillmore;51;26-10-2008
46;Harrison;88;26-02-2007
47;Washington;58;21-01-2007
48;Johnson;59;16-05-2008
49;Ford;75;25-08-2008
50;Lincoln;38;26-01-2007
51;Harding;3;30-09-2007
52;Washington;59;15-12-2007
53;Jackson;28;31-10-2008
54;Hoover;19;12-04-2007
55;Nixon;40;26-11-2007
56;Arthur;7;11-10-2008
57;Monroe;40;25-02-2007
58;Jackson;29;22-09-2007
59;Harrison;17;28-04-2008
60;Reagan;93;27-10-2008
61;Hoover;4;17-04-2008
62;Hoover;83;09-02-2008
63;Cleveland;31;07-09-2007
