id;name;city;birthdate;gender;postcode;GRP_SIZE;MASTER;SCORE;GRP_QUALITY;MATCHING_DISTANCES
1;Lin ConleLin ConleyLin Conl;BEIJINGBeijing;2332-02-08;male;12345;3;true;1.0;0.8823529411764706;
1;Lin Conley;Beijing;1998-02-12;female;123456;0;false;0.9411764705882353;0.0;name: 0.9 | city: 1.0 | birthdate: 1.0
2;Lin Conle;BEIJING;1998-02-12;male;12345;0;false;0.9411764705882353;0.0;name: 0.9 | city: 1.0 | birthdate: 1.0
3;Lin Conl;;1998-02-12;male;12345;0;false;0.9346405228758169;0.0;name: 0.8888888888888888 | city: 1.0 | birthdate: 1.0
4;CodyCody Goldey;aa;2000-11-12;femalefemale;abcdabcdef;2;true;1.0;0.8484848514199257;
4;Cody Goldey;;2000-11-12;female;abcdef;0;false;0.8484848514199257;0.0;name: 0.7878788113594055 | gender: 1.0 | postcode: 0.6666666666666667
5;Cody;aa;2000-11-23;female;abcd;0;false;0.8484848514199257;0.0;name: 0.7878788113594055 | gender: 1.0 | postcode: 0.6666666666666667
7;Pedro Castillo;bb;;male;xyz;1;true;1.0;1.0;
8;aaaaaaaa Goldey;aa;2000-11-12;femalefemale;zzzzzzzzz;2;true;1.0;0.89375;
8;aaaaa Goldey;;2000-11-12;female;zzzzz;0;false;0.89375;0.0;name: 0.75 | gender: 1.0 | postcode: 0.8
9;aaa;aa;2000-11-23;female;zzzz;0;false;0.89375;0.0;name: 0.75 | gender: 1.0 | postcode: 0.8
