id;name;age;salary
1;Franklin;61;5286.4
2;John;80;5513.549999999999
3;Theodore;50;7310.099999999999
4;Harry;33;7433.999999999999
5;Lyndon;33;7599.2
6;Grover;52;4563.65
7;Theodore;61;6504.75
8;George;72;4543.0
9;Theodore;43;7908.95
10;Franklin;67;6546.049999999999
11;Franklin;75;7248.15
12;Theodore;63;6731.9
13;Chester;46;7475.299999999999
14;Bill;58;8260.0
15;Woodrow;27;6649.299999999999
16;Chester;86;7041.65
17;Jimmy;57;7867.65
18;Calvin;60;6690.599999999999
19;Chester;66;7186.2
20;James;54;4233.25
21;Benjamin;86;4790.799999999999
22;George;74;4914.7
23;John;81;6690.599999999999
24;Jimmy;59;5307.049999999999
25;Calvin;71;6752.549999999999
26;Woodrow;85;5121.2
27;Richard;52;6669.95
28;Ronald;90;4997.299999999999
29;Thomas;21;6401.5
30;Thomas;43;5079.9
31;Martin;44;4439.75
32;George;76;7888.299999999999
33;Jimmy;88;6628.65
34;Millard;68;6401.5
35;Richard;48;4708.2
36;Dwight;25;8012.2
37;George;57;5203.799999999999
38;James;61;7702.45
39;Grover;82;7206.849999999999
40;Woodrow;36;5947.2
41;Thomas;54;7330.749999999999
42;Lyndon;72;6711.249999999999
43;Dwight;69;4543.0
44;Woodrow;39;5782.0
45;Calvin;65;6112.4
46;Woodrow;84;4997.299999999999
47;John;47;6422.15
48;John;90;4625.599999999999
49;Ronald;44;5761.349999999999
50;John;22;6380.849999999999
51;Zachary;72;8074.15
52;William;60;4130.0
53;Dwight;85;7805.7
54;Herbert;86;4728.849999999999
55;George;82;4852.75
56;Grover;42;7764.4
57;William;62;4646.25
58;Dwight;68;7846.999999999999
59;Warren;48;5823.299999999999
60;Dwight;32;5472.25
61;Rutherford;72;6566.7
62;Benjamin;50;4625.599999999999
63;Grover;65;7268.799999999999
64;Abraham;43;7537.249999999999
65;Grover;47;6339.549999999999
66;Jimmy;43;5430.95
67;Martin;43;6546.049999999999
68;Martin;69;7578.549999999999
69;Warren;53;6174.349999999999
70;Calvin;85;4398.45
71;Harry;65;6876.45
72;Bill;75;6690.599999999999
73;Thomas;25;5286.4
74;Harry;34;7372.049999999999
75;Dwight;89;6463.45
76;George;26;4460.4
77;Bill;70;7124.249999999999
78;Millard;30;5389.65
79;Woodrow;57;4997.299999999999
80;John;32;6463.45
81;Harry;27;6608.0
82;Andrew;67;6608.0
83;Jimmy;70;6525.4
84;Ronald;52;6318.9
85;Jimmy;59;6566.7
86;Zachary;69;5988.5
87;Jimmy;82;6608.0
88;James;54;6855.799999999999
89;Warren;51;7681.799999999999
90;Warren;37;5575.5
91;Gerald;33;4646.25
92;Harry;52;4852.75
93;Rutherford;61;5183.15
94;Zachary;55;7289.45
95;Jimmy;33;6731.9
96;Theodore;50;8198.05
97;Gerald;79;5286.4
98;Richard;48;5307.049999999999
99;Martin;21;7020.999999999999
100;Gerald;25;6711.249999999999
