From;To;Cc;Date;Subject;Received
Mikel Lindsaar <test@lindsaar.net>;Mikel Lindsaar <raasdnil@gmail.com>;;Sat, 22 Nov 2008 15:04:59 +1100;Testing 123;by 10.140.178.13 with SMTP id a13cs354079rvf;
        Fri, 21 Nov 2008 20:05:05 -0800 (PST)||by 10.151.44.15 with SMTP id w15mr2254748ybj.98.1227326704711;
        Fri, 21 Nov 2008 20:05:04 -0800 (PST)||from mail11.tpgi.com.au (mail11.tpgi.com.au [203.12.160.161])
        by mx.google.com with ESMTP id 10si5117885gxk.81.2008.11.21.20.05.03;
        Fri, 21 Nov 2008 20:05:04 -0800 (PST)||from [192.0.0.253] (60-241-138-146.static.tpgi.com.au [60.0.0.146])
	by mail11.tpgi.com.au (envelope-from test@lindsaar.net) (8.14.3/8.14.3) with ESMTP id mAM44xew022221
	for <raasdnil@gmail.com>; Sat, 22 Nov 2008 15:05:01 +1100||
John Doe <jdoe@machine.example>;Mary Smith <mary@example.net>;;Fri, 21 Nov 1997 09:55:06 -0600;Saying Hello;
John Doe <jdoe@machine.example>;Mary Smith <mary@example.net>;;Fri, 21 Nov 1997 09:55:06 -0600;Saying Hello;
Pete <pete@silly.example>;A Group:Chris Jones <c@a.test>,joe@where.test,John <jdoe@one.test>;;Undisclosed recipients:;;Thu, 13 Feb 1969 23:32:54 -0330;;
