1;Calvin;Coolidge;20-06-1991
2;Martin;Arthur;16-08-1927
3;Franklin;Grant;20-09-1994
4;Lyndon;Coolidge;12-02-1936
5;Richard;McKinley;05-06-1976
6;Rutherford;Truman;08-12-1922
7;John;Tyler;24-02-2002
8;Rutherford;Johnson;06-07-1946
9;Chester;Madison;21-08-2002
10;James;Wilson;08-04-1933
11;George;Truman;28-04-1935
12;Martin;Quincy;18-01-1933
13;Woodrow;McKinley;20-09-1973
14;Zachary;Grant;25-08-1922
15;Chester;Clinton;21-12-1941
16;Herbert;Eisenhower;13-02-1962
17;George;Arthur;15-02-1975
18;Bill;Wilson;23-12-1948
19;Jimmy;Washington;23-11-1995
20;Calvin;Arthur;06-11-1937
21;George;Quincy;22-11-1936
22;Rutherford;Quincy;07-04-1988
23;Calvin;Madison;01-01-1946
24;Millard;Quincy;04-09-1937
25;Calvin;Taft;16-07-2006
26;Chester;Carter;13-06-1973
27;George;Monroe;30-05-1986
28;Grover;Madison;21-11-1946
29;Herbert;Coolidge;31-10-1958
30;Richard;McKinley;20-07-1990
31;Millard;Fillmore;20-11-1989
32;Ulysses;Madison;27-09-1985
33;Dwight;Fillmore;18-07-1980
34;Richard;Cleveland;08-10-1929
35;Bill;Taft;23-07-2011
36;Rutherford;Jackson;22-03-1959
37;Benjamin;Quincy;04-08-1981
38;James;Arthur;19-12-1972
39;Warren;Adams;08-10-2005
40;Ronald;Monroe;17-02-1950
41;Chester;Adams;18-08-2007
42;William;Hoover;11-11-1927
43;Rutherford;Eisenhower;26-01-1937
44;Benjamin;Reagan;22-05-1983
45;Thomas;Buchanan;14-01-1997
46;Richard;Grant;28-01-1985
47;William;Buchanan;27-07-2009
48;Dwight;Ford;04-03-1930
49;Harry;Carter;20-04-1962
50;Harry;Pierce;17-12-1934
51;William;Reagan;04-08-1988
52;James;Hoover;06-08-1986
53;Dwight;Jackson;19-12-1964
54;Andrew;Adams;05-10-1998
55;John;Wilson;18-03-1985
56;Richard;Roosevelt;03-04-1960
57;Thomas;Harrison;11-02-1969
58;Benjamin;Reagan;16-08-1930
59;Abraham;Harding;03-04-1970
60;Andrew;Hoover;09-01-1985
61;Richard;Ford;29-08-2010
62;Ulysses;Grant;17-05-1972
63;Rutherford;Jackson;30-08-2000
64;James;Jefferson;02-02-1985
65;Franklin;Roosevelt;05-02-1993
66;Andrew;Adams;09-11-1971
67;Franklin;Madison;27-05-2007
68;Richard;Wilson;22-02-1939
69;Thomas;Harrison;02-03-1999
70;Millard;Harding;05-02-1965
71;Zachary;Harrison;22-10-1937
72;Calvin;Truman;09-03-1992
73;Herbert;Madison;28-06-1968
74;George;Nixon;13-04-1989
75;Warren;Harrison;08-03-1975
76;Benjamin;Buchanan;06-05-1978
77;Rutherford;Hayes;09-10-1931
78;Franklin;Arthur;17-12-1947
79;Martin;Hayes;03-06-2008
80;Ulysses;Arthur;22-06-2000
81;Grover;Madison;24-11-1969
82;Martin;Ford;06-07-1995
83;Chester;McKinley;09-11-2005
84;Abraham;Tyler;19-04-1921
85;Ronald;Monroe;08-06-1936
86;Rutherford;Buchanan;22-05-2004
87;Franklin;Fillmore;02-12-1996
88;Woodrow;Truman;31-01-1999
89;Franklin;Roosevelt;25-03-1953
90;Ulysses;Roosevelt;04-02-1922
91;Franklin;Grant;12-02-1934
92;Richard;Nixon;07-10-1964
93;Jimmy;Truman;25-02-1949
94;John;Carter;07-04-1962
95;Benjamin;Hayes;26-07-1936
96;Millard;Truman;05-09-1953
97;Ulysses;Jefferson;24-01-2012
98;Calvin;Jefferson;28-09-1998
99;Thomas;Pierce;28-09-1933
100;Calvin;Cleveland;29-10-1972
101;Thomas;Harrison;05-07-1950
102;George;Adams;29-09-1940
103;Andrew;Ford;10-04-1927
104;Warren;Carter;20-11-1927
105;Jimmy;Kennedy;14-04-1979
106;Grover;Eisenhower;06-09-2007
107;Andrew;Hoover;13-05-1972
108;Ulysses;Carter;30-09-1936
109;Andrew;Monroe;04-12-1970
110;Calvin;Monroe;15-06-1970
111;Gerald;Garfield;12-04-1988
112;William;Garfield;18-09-1925
113;Warren;Jackson;07-02-1924
114;Dwight;Fillmore;27-04-1954
115;Bill;Ford;16-03-2012
116;Calvin;Fillmore;11-12-1920
117;Thomas;Roosevelt;06-05-1938
118;Ulysses;Adams;22-09-1937
119;Dwight;Van Buren;17-04-1932
120;William;Truman;30-12-1920
121;George;Eisenhower;24-11-1955
122;Lyndon;McKinley;12-08-1975
123;Martin;Garfield;10-01-1932
124;Jimmy;Wilson;05-10-1972
125;Ronald;Taylor;02-05-1930
126;Calvin;Roosevelt;04-01-2011
127;Jimmy;Truman;26-10-1921
128;Franklin;Adams;29-03-2005
129;Benjamin;McKinley;27-05-2001
130;Woodrow;Cleveland;16-10-1934
131;Ronald;Cleveland;03-09-1935
132;Andrew;Adams;12-01-1939
133;Jimmy;Lincoln;09-11-1927
134;Woodrow;Cleveland;23-08-1963
135;Richard;Madison;10-11-1973
136;Harry;Jackson;13-06-1957
137;Martin;Quincy;16-03-1966
138;Woodrow;Buchanan;07-05-2011
139;Bill;Grant;17-12-2003
140;George;Tyler;12-08-1992
141;Rutherford;Taylor;27-03-1958
142;Warren;Madison;01-08-1922
143;William;Harding;13-03-1957
144;Franklin;Madison;05-10-1980
145;Harry;Madison;31-07-1970
146;Woodrow;Ford;09-06-1991
