1;Bill;Jackson;07-02-1954
2;Benjamin;Harrison;18-10-1965
3;Herbert;Truman;29-03-1955
4;George;Ford;06-09-1971
5;Dwight;Nixon;09-12-1932
6;Andrew;Taft;01-04-1969
7;Harry;Buchanan;24-11-2011
8;William;Harding;01-09-1951
9;Millard;Monroe;01-03-1922
10;Theodore;Arthur;22-02-1973
11;Gerald;Nixon;30-06-2004
12;John;Hayes;11-08-1959
13;Ulysses;Jefferson;13-12-1942
14;Herbert;Fillmore;16-10-1945
15;Woodrow;Coolidge;25-10-1994
16;Millard;Hayes;07-06-1977
17;Bill;Polk;31-01-2003
18;Andrew;Coolidge;03-11-1954
19;Ulysses;Garfield;26-12-1966
20;John;Adams;31-10-1975
21;Millard;Polk;31-07-2003
22;Dwight;McKinley;03-10-1994
23;Jimmy;Polk;18-06-1971
24;Franklin;Reagan;28-07-1970
25;Ulysses;Harrison;14-02-1929
26;Thomas;Reagan;03-10-1990
27;Richard;Pierce;14-09-1980
28;Jimmy;Adams;07-07-1932
29;Franklin;Cleveland;17-03-1937
30;Chester;McKinley;01-07-1925
31;Ronald;Cleveland;10-06-2012
32;Franklin;Harrison;27-01-1979
33;Theodore;Clinton;18-02-1950
34;Martin;Lincoln;03-08-1924
35;Andrew;Adams;29-09-1988
36;Ronald;Taft;11-11-1959
37;Grover;Adams;25-10-1932
38;Abraham;Harding;11-06-1965
39;Warren;Van Buren;10-12-1998
40;Warren;Harrison;28-09-1939
41;Benjamin;Fillmore;25-01-2000
42;Millard;Harrison;23-09-1943
43;Gerald;Jefferson;05-01-2006
44;Millard;Cleveland;14-06-1971
45;Jimmy;Arthur;08-05-1977
46;Warren;Adams;01-03-1980
47;Warren;Polk;02-07-1997
48;Theodore;Adams;21-05-2004
49;Bill;Kennedy;22-01-1923
50;Warren;Washington;18-12-1937
51;Bill;Hoover;14-12-1970
52;Dwight;Reagan;13-01-1961
53;Herbert;Nixon;25-02-1991
54;Benjamin;Cleveland;23-08-1960
55;Millard;Hoover;13-09-2006
56;Warren;Washington;20-11-1926
57;Calvin;Johnson;07-07-2007
58;Martin;Harrison;22-07-1922
59;Harry;Jefferson;18-05-1924
60;Benjamin;Truman;18-06-1927
61;Woodrow;Truman;31-07-1927
62;Andrew;Grant;20-09-1982
63;Jimmy;Pierce;10-07-1922
64;Andrew;Johnson;16-06-1953
65;Zachary;Truman;13-10-1983
66;Theodore;Adams;26-02-1928
67;George;McKinley;29-11-1978
68;Benjamin;Clinton;05-09-1928
69;Zachary;Pierce;17-12-1956
70;Gerald;Harding;13-01-2006
71;Lyndon;Nixon;02-07-1941
72;Jimmy;Nixon;26-09-2008
73;Lyndon;Monroe;22-04-1965
74;Lyndon;Fillmore;17-08-1922
75;Dwight;Eisenhower;25-08-1937
76;Grover;Johnson;15-02-1952
77;Harry;Adams;20-06-1948
78;Lyndon;Johnson;22-12-1995
79;George;Reagan;02-12-1969
80;William;Truman;12-07-1945
81;Calvin;McKinley;10-05-1954
82;Theodore;Johnson;30-10-1980
83;Bill;Lincoln;14-01-1932
84;Zachary;Eisenhower;27-10-1962
85;James;Garfield;23-07-1997
86;Harry;Polk;29-05-1945
87;Dwight;Harrison;22-08-1978
88;Herbert;Johnson;04-04-1929
89;Rutherford;Eisenhower;21-09-1950
90;John;Kennedy;24-10-2011
91;Ulysses;Johnson;10-02-1938
92;John;Nixon;20-01-1956
93;Chester;Johnson;25-01-1957
94;George;Van Buren;26-03-1954
95;George;Jefferson;18-05-2011
96;Martin;Johnson;11-07-1958
97;Zachary;Polk;03-01-1935
98;George;Carter;07-01-1957
99;Martin;Eisenhower;22-07-1959
100;Martin;Washington;11-06-1957
101;Grover;Carter;01-03-1952
102;Theodore;Hayes;02-01-1990
103;William;Adams;13-06-1972
