1;Thomas;Tyler;12-11-1979
3;Dwight;Wilson;12-03-1940
5;Jimmy;Truman;21-12-2006
7;Gerald;Adams;27-10-1931
9;William;Pierce;29-05-1943
11;Theodore;Roosevelt;26-06-1941
13;Jimmy;Wilson;14-06-1988
15;Ronald;Taylor;04-11-1997
17;Andrew;Madison;18-08-1978
19;Calvin;Jefferson;13-06-1945
21;Calvin;Harding;08-02-1988
23;Gerald;Arthur;30-01-1985
25;James;Taylor;31-07-1944
27;John;Reagan;06-08-1939
29;Thomas;Roosevelt;31-05-2006
31;Warren;Madison;25-05-2007
33;Woodrow;Arthur;21-05-1964
35;Benjamin;Tyler;13-01-1939
37;Martin;Buchanan;16-05-1930
39;Martin;Clinton;14-03-2000
41;Lyndon;Taft;30-06-1967
43;Calvin;Truman;24-10-1995
45;Calvin;Coolidge;21-06-2011
47;Lyndon;Roosevelt;12-06-1952
49;Warren;Jefferson;19-01-1932
51;Chester;Arthur;18-10-1981
53;Warren;Harding;17-11-1969
55;James;Roosevelt;07-01-1965
57;Dwight;Taylor;01-01-1938
59;Harry;Johnson;20-01-1924
61;John;Coolidge;10-03-2008
63;Harry;Harrison;08-09-1977
65;Ronald;Washington;11-05-1921
67;Ulysses;Van Buren;03-11-1933
69;Abraham;Truman;06-01-1932
71;John;Hayes;24-03-1970
73;Theodore;Garfield;05-05-1994
75;Millard;McKinley;11-07-1947
77;Gerald;Hayes;15-11-1958
79;Ulysses;Jefferson;26-04-1974
81;Gerald;Roosevelt;08-05-1924
83;John;Carter;02-09-1962
85;Millard;Clinton;23-02-2007
87;Ronald;Pierce;17-04-1981
89;Calvin;Harding;26-06-1960
91;Richard;Carter;12-10-1996
93;Woodrow;Quincy;25-07-1984
95;Gerald;Truman;19-09-2006
97;James;Wilson;29-12-1965
99;Woodrow;Van Buren;31-01-1990
101;Benjamin;Hayes;25-04-1985
103;George;Eisenhower;24-02-1990
105;Thomas;Clinton;05-03-1939
107;Franklin;Arthur;14-10-1969
109;Ronald;Harding;17-01-1935
111;Gerald;Hayes;05-05-2006
113;Warren;Reagan;05-06-1978
115;Ulysses;Roosevelt;10-03-1991
117;John;Adams;15-03-1931
119;Gerald;Roosevelt;19-05-2001
121;Ulysses;Pierce;23-09-1982
123;James;Harrison;07-01-1996
125;Woodrow;Jefferson;03-08-2011
127;William;Wilson;06-03-1966
129;Richard;Taft;11-05-1949
131;William;Reagan;01-03-1920
133;Ronald;McKinley;28-09-1995
135;Jimmy;Buchanan;05-11-1981
137;John;Buchanan;16-10-1984
139;William;Coolidge;08-12-1955
141;Dwight;Fillmore;09-08-1964
143;Dwight;Polk;12-05-1939
145;Jimmy;Garfield;25-07-2011
147;William;Ford;10-10-1920
149;William;Ford;05-02-1967
151;Rutherford;Polk;28-12-1925
153;Harry;Washington;27-07-1936
155;Chester;Monroe;27-03-1948
157;Abraham;Nixon;16-06-1991
159;Harry;McKinley;05-10-2005
161;James;Garfield;08-07-1977
163;Warren;Harding;21-08-1921
165;Gerald;Fillmore;03-12-1930
167;Martin;McKinley;02-04-1933
169;Bill;Taft;08-04-1970
171;James;Harrison;21-10-1979
173;Bill;Eisenhower;04-12-1972
175;Grover;Jefferson;06-09-1928
177;Zachary;Kennedy;26-08-1985
179;Gerald;Hayes;13-10-1971
181;Benjamin;Nixon;27-01-1992
183;Ulysses;Jefferson;09-05-1938
185;Andrew;Madison;25-09-2007
187;Millard;Reagan;10-04-1966
189;Chester;Reagan;24-04-1941
191;Andrew;Fillmore;12-12-1920
193;Dwight;Ford;17-09-1948
195;Chester;Polk;30-01-1998
197;Grover;Lincoln;31-03-2009
199;Franklin;Eisenhower;13-05-1967
201;Martin;Nixon;29-07-1971
203;John;Truman;18-07-1945
205;William;Jackson;07-01-1953
207;Herbert;Coolidge;10-01-1964
209;John;Taft;25-03-1982
211;Jimmy;Arthur;23-06-1921
213;Warren;Harrison;13-03-1945
215;Woodrow;Pierce;28-10-1955
217;Warren;Arthur;18-03-1958
219;Andrew;Pierce;30-09-1964
221;Jimmy;Fillmore;12-02-1980
223;Harry;Jackson;28-12-1982
225;Jimmy;Kennedy;08-02-1922
227;Zachary;Hayes;16-02-1976
229;Thomas;Carter;15-06-1970
231;George;Pierce;01-05-1955
233;Theodore;Nixon;17-08-1981
235;Gerald;Reagan;21-06-1961
237;Chester;Pierce;20-04-1993
239;Harry;Kennedy;05-06-1948
241;Warren;Adams;15-10-1969
243;Grover;Buchanan;11-12-1982
245;Richard;Grant;10-10-1946
247;Andrew;Harrison;05-05-1997
249;Dwight;Buchanan;03-11-1942
251;Gerald;Jackson;19-03-1983
253;Ulysses;Garfield;25-02-1967
255;Bill;Buchanan;14-08-1929
257;Warren;Harrison;27-07-1969
259;Chester;Carter;02-02-1979
261;Jimmy;Adams;11-09-1985
263;Thomas;Garfield;20-02-1929
265;Lyndon;Adams;06-04-1945
267;Richard;Roosevelt;05-06-1996
269;Franklin;Polk;12-09-1933
271;Franklin;Washington;10-08-1960
273;Theodore;Taylor;04-12-1960
275;Ronald;Pierce;23-05-1978
277;Calvin;Polk;14-12-1987
279;William;McKinley;11-03-1932
281;Martin;Lincoln;23-07-1983
283;Millard;Madison;06-08-1954
285;Dwight;Harding;16-08-1954
287;Woodrow;Lincoln;14-12-1975
289;Gerald;Jackson;09-01-1929
291;Calvin;Monroe;20-10-2008
293;Andrew;Jackson;08-08-1998
295;John;Reagan;09-05-1945
297;Thomas;Van Buren;18-08-2009
299;Richard;Washington;07-03-1981
301;Warren;Tyler;23-08-1998
303;Jimmy;Taylor;19-04-2003
305;Thomas;Madison;30-09-1954
307;Martin;Coolidge;01-05-1922
309;Benjamin;Roosevelt;12-02-1981
311;Lyndon;Washington;16-08-1958
313;Ronald;Adams;29-10-2007
315;Calvin;Cleveland;04-06-1988
317;James;Roosevelt;24-11-2012
319;James;Pierce;04-02-1986
321;Ulysses;Lincoln;03-11-1942
323;Richard;Adams;18-01-1984
325;Theodore;Johnson;02-11-1961
327;Herbert;Quincy;15-06-2004
329;Andrew;Hoover;13-07-1920
331;Martin;Reagan;28-04-1936
333;Franklin;Van Buren;27-05-1942
335;Harry;Van Buren;07-01-1935
337;Martin;Roosevelt;10-02-1990
339;Theodore;Wilson;24-02-1922
341;Herbert;Pierce;24-06-1938
343;Bill;Carter;14-10-1998
345;William;Wilson;23-09-1939
347;Warren;Clinton;13-04-2006
349;John;Johnson;02-11-1939
351;Millard;Reagan;25-12-1920
353;John;Madison;04-10-1967
355;George;Clinton;22-02-2003
357;Richard;Roosevelt;18-08-1992
359;Warren;Jefferson;13-04-1979
361;Ulysses;Monroe;29-02-1936
363;James;Taylor;13-03-1987
365;Thomas;Pierce;17-04-2008
367;Theodore;Tyler;24-10-2003
369;Gerald;Eisenhower;01-03-1984
371;Gerald;Clinton;12-08-2000
373;Lyndon;Carter;04-06-1953
375;Herbert;Adams;03-07-2009
377;Rutherford;Adams;31-03-1983
379;Calvin;Cleveland;25-01-1985
381;William;Coolidge;27-09-1923
383;Martin;Pierce;23-11-1934
385;Grover;Roosevelt;26-11-1976
387;Andrew;Hoover;17-03-1947
389;James;Garfield;22-10-1935
391;Millard;Garfield;28-12-1970
393;William;Johnson;16-10-1956
395;Bill;Polk;04-05-1940
397;William;Polk;03-04-1935
399;Lyndon;Hayes;11-06-1983
401;Thomas;Pierce;28-08-1960
403;Woodrow;Jefferson;21-09-1979
405;Benjamin;Van Buren;06-02-1938
407;Gerald;Roosevelt;21-05-1953
409;Thomas;Roosevelt;22-03-1935
411;John;Pierce;11-07-1924
413;Woodrow;Jefferson;30-05-1974
415;Calvin;Carter;06-03-1981
417;Gerald;Taft;29-04-1970
419;Benjamin;Hoover;02-07-1958
421;Harry;Hayes;19-10-1961
