ID_CLIENT;CLIENT_NAME;CLIENT_BIRTHDAY;CLIENT_ACCOUNT
13t4W8;gael;08/10/2007 16:15;XY9O5H
1My1Aa;kash;08/10/2007 16:15;8GmC8w
1Trp7I;dac;08/10/2007 16:15;6Z0YwE
1lRiwI;amig;08/10/2007 16:15;ZcUTP1
2P9exz;gael;08/10/2007 16:15;FXR1jF
3vq3Ym;adel;01/10/2007 16:15;tqwUst
41rZtL;jim;08/10/2007 16:15;Tjhsze
42XsLW;jim;08/10/2007 16:15;WbqbXH
4BF9Y8;rim;08/10/2007 16:15;m7Flki
5d96RT;croos;08/10/2007 16:15;fXytGs
64RFDg;adel;08/10/2007 16:15;SqRe2N
65ZUOL;sam;08/10/2007 16:15;V0QttR
6u5bVY;jim;08/10/2007 16:15;kkwXKE
76eycr;dac;08/10/2007 16:15;yrkg1q
796Ck3;dac;08/10/2007 16:15;URHYhL
7IP9bi;sam;08/10/2007 16:15;2xIUXo
8o9nWo;rim;08/10/2007 16:15;o1PXUh
8xQKoK;adel;08/10/2007 16:15;FvUjq0
9u1xUR;jim;08/10/2007 16:15;PYd1iE
B4vWkQ;jim;08/10/2007 16:15;XihWg9
C0ZCwG;gael;08/10/2007 16:15;cYEwv2
CRdTQp;jim;08/10/2007 16:15;u2YsU3
DdrpP9;gael;09/10/2007 16:15;zOmPHr
DfAapW;jim;08/10/2007 16:15;4C1MPb
ECZtAI;kam;08/10/2007 16:15;F0ViOP
ETu8EJ;kam;08/10/2007 16:15;VecPOn
F5yl03;kam;08/10/2007 16:15;4a53f1
FCt4aZ;rim;08/10/2007 16:15;FuWqiU
FsarIJ;gael;08/10/2007 16:15;joxyFu
G0UTuc;sam;08/10/2007 16:15;d3v1jb
H5ZpIU;jim;08/10/2007 16:15;xhNkzw
H6ZNwz;jim;08/10/2007 16:15;OWxzGP
H94mab;rim;08/10/2007 16:15;UhRwrc
HchYCg;rim;08/10/2007 16:15;jvGPFs
HtVheG;rim;08/10/2007 16:15;0Bvi8Q
ICw4SO;jim;08/10/2007 16:15;uHAMQh
IkaFeb;dac;08/10/2007 16:15;tch9M5
JDo9ki;dac;08/10/2007 16:15;Ly2HSo
M6ZZIh;kash;08/10/2007 16:15;HNOhZD
MgvrOU;sam;08/10/2007 16:15;XCdEvP
NRfIIz;kash;08/10/2007 16:15;Q7eTNK
NUW1JL;sam;08/10/2007 16:15;1s83Iy
OU9dOf;gael;08/10/2007 16:15;M7UqDU
QF7gkD;sam;08/10/2007 16:15;ANvp3Y
QFCnns;amig;08/10/2007 16:15;gilt8x
RVpQuo;sam;08/10/2007 16:15;oZyLl0
RXw64U;kash;08/10/2007 16:15;9Ev2D6
Ri1IH5;kam;08/10/2007 16:15;O2YtYd
SDTeeB;amig;08/10/2007 16:15;fVwikk
SgGRrS;kash;08/10/2007 16:15;isAPaa
TKdXEf;jim;08/10/2007 16:15;jEN5vB
U6roRa;kam;08/10/2007 16:15;MlwQNF
ULfQUi;kam;08/10/2007 16:15;4MBdIm
UMsysn;kam;08/10/2007 16:15;h6TvMF
Ufto9A;amig;08/10/2007 16:15;j0P6LD
UhhmsY;sam;08/10/2007 16:15;dt0C84
Vjnlly;amig;08/10/2007 16:15;1xS6EI
W1nmv5;kash;08/10/2007 16:15;N5AQ3k
Y7ixdo;kam;08/10/2007 16:15;T6A6EP
YB0bol;croos;08/10/2007 16:15;9iBwT2
YulV6p;kash;08/10/2007 16:15;z7hBWY
Z0sD71;sam;07/10/2007 16:15;ypyG0I
ZOQVri;croos;08/10/2007 16:15;bPb0iN
awOaH0;kash;08/10/2007 16:15;bRfmdG
bUW3OP;croos;08/10/2007 16:15;Q5RGcN
blu1xG;jim;08/10/2007 16:15;dFIPl4
cMt9tF;kam;06/10/2007 16:15;oQfTog
cZtzed;amig;08/10/2007 16:15;qLre0U
dU5lqo;croos;08/10/2007 16:15;23OvON
eEuHyw;adel;08/10/2007 16:15;JOkEyg
eLeTWJ;sam;08/10/2007 16:15;ZaR7Yu
fqSzBX;amig;08/10/2007 16:15;tdDbzO
hHhdJe;croos;08/10/2007 16:15;SHvYGH
hUPrtb;gael;08/10/2007 16:15;SZ2PFr
hwdLBs;dac;08/10/2007 16:15;ArupPW
iDow2N;gael;08/10/2007 16:15;ekLSNR
iLaBQ7;kam;08/10/2007 16:15;efdC4C
kP3gbn;kash;08/10/2007 16:15;o9AcLt
kbAzlI;kam;07/10/2007 16:15;UymlI8
l4WxzL;dac;08/10/2007 16:15;pe2hR3
lGGYcP;dac;08/10/2007 16:15;ChXLyg
lIHldP;dac;08/10/2007 16:15;MsQtb5
mVE1Dq;kash;08/10/2007 16:15;Sv8ihb
oNlkgs;adel;08/10/2007 16:15;B54HJm
oSHtYD;dac;08/10/2007 16:15;TeW3Wq
ofODIB;kam;08/10/2007 16:15;ai9kgI
oqyyqb;adel;08/10/2007 16:15;57SxqR
orW4XI;dac;08/10/2007 16:15;PQNdlq
pPeMUD;dac;08/10/2007 16:15;qrEEFE
q1qFfR;croos;08/10/2007 16:15;oUbtwB
sZG4hg;dac;08/10/2007 16:15;GyWEzH
t273x7;kash;08/10/2007 16:15;9sLrpM
tOUj8D;dac;08/10/2007 16:15;OZ3DGT
tXDPxV;amig;08/10/2007 16:15;mpfWdD
u1RfoG;amig;08/10/2007 16:15;WL1TcU
uTBolN;rim;08/10/2007 16:15;pUegcX
uhkEHx;dac;08/10/2007 16:15;LwB0bp
vGy45h;kash;08/10/2007 16:15;B1ZF06
yC5Hst;dac;08/10/2007 16:15;j24bfU
zsMTHI;dac;08/10/2007 16:15;9WFteX
