ID_CLIENT;CLIENT_NAME;CLIENT_BIRTHDAY;CLIENT_ACCOUNT
UhhmsY;sam;08/10/2007 16:15;dt0C84
Z0sD71;sam;07/10/2007 16:15;ypyG0I
MgvrOU;sam;08/10/2007 16:15;XCdEvP
RVpQuo;sam;08/10/2007 16:15;oZyLl0
65ZUOL;sam;08/10/2007 16:15;V0QttR
7IP9bi;sam;08/10/2007 16:15;2xIUXo
QF7gkD;sam;08/10/2007 16:15;ANvp3Y
NUW1JL;sam;08/10/2007 16:15;1s83Iy
eLeTWJ;sam;08/10/2007 16:15;ZaR7Yu
G0UTuc;sam;08/10/2007 16:15;d3v1jb
FCt4aZ;rim;08/10/2007 16:15;FuWqiU
8o9nWo;rim;08/10/2007 16:15;o1PXUh
HchYCg;rim;08/10/2007 16:15;jvGPFs
4BF9Y8;rim;08/10/2007 16:15;m7Flki
HtVheG;rim;08/10/2007 16:15;0Bvi8Q
uTBolN;rim;08/10/2007 16:15;pUegcX
H94mab;rim;08/10/2007 16:15;UhRwrc
W1nmv5;kash;08/10/2007 16:15;N5AQ3k
awOaH0;kash;08/10/2007 16:15;bRfmdG
mVE1Dq;kash;08/10/2007 16:15;Sv8ihb
YulV6p;kash;08/10/2007 16:15;z7hBWY
1My1Aa;kash;08/10/2007 16:15;8GmC8w
kP3gbn;kash;08/10/2007 16:15;o9AcLt
M6ZZIh;kash;08/10/2007 16:15;HNOhZD
NRfIIz;kash;08/10/2007 16:15;Q7eTNK
RXw64U;kash;08/10/2007 16:15;9Ev2D6
vGy45h;kash;08/10/2007 16:15;B1ZF06
SgGRrS;kash;08/10/2007 16:15;isAPaa
t273x7;kash;08/10/2007 16:15;9sLrpM
Y7ixdo;kam;08/10/2007 16:15;T6A6EP
F5yl03;kam;08/10/2007 16:15;4a53f1
ECZtAI;kam;08/10/2007 16:15;F0ViOP
Ri1IH5;kam;08/10/2007 16:15;O2YtYd
cMt9tF;kam;06/10/2007 16:15;oQfTog
kbAzlI;kam;07/10/2007 16:15;UymlI8
ULfQUi;kam;08/10/2007 16:15;4MBdIm
ofODIB;kam;08/10/2007 16:15;ai9kgI
UMsysn;kam;08/10/2007 16:15;h6TvMF
ETu8EJ;kam;08/10/2007 16:15;VecPOn
iLaBQ7;kam;08/10/2007 16:15;efdC4C
U6roRa;kam;08/10/2007 16:15;MlwQNF
H5ZpIU;jim;08/10/2007 16:15;xhNkzw
blu1xG;jim;08/10/2007 16:15;dFIPl4
41rZtL;jim;08/10/2007 16:15;Tjhsze
H6ZNwz;jim;08/10/2007 16:15;OWxzGP
B4vWkQ;jim;08/10/2007 16:15;XihWg9
ICw4SO;jim;08/10/2007 16:15;uHAMQh
DfAapW;jim;08/10/2007 16:15;4C1MPb
42XsLW;jim;08/10/2007 16:15;WbqbXH
CRdTQp;jim;08/10/2007 16:15;u2YsU3
9u1xUR;jim;08/10/2007 16:15;PYd1iE
6u5bVY;jim;08/10/2007 16:15;kkwXKE
TKdXEf;jim;08/10/2007 16:15;jEN5vB
DdrpP9;gael;09/10/2007 16:15;zOmPHr
iDow2N;gael;08/10/2007 16:15;ekLSNR
C0ZCwG;gael;08/10/2007 16:15;cYEwv2
2P9exz;gael;08/10/2007 16:15;FXR1jF
OU9dOf;gael;08/10/2007 16:15;M7UqDU
hUPrtb;gael;08/10/2007 16:15;SZ2PFr
13t4W8;gael;08/10/2007 16:15;XY9O5H
FsarIJ;gael;08/10/2007 16:15;joxyFu
hwdLBs;dac;08/10/2007 16:15;ArupPW
76eycr;dac;08/10/2007 16:15;yrkg1q
796Ck3;dac;08/10/2007 16:15;URHYhL
pPeMUD;dac;08/10/2007 16:15;qrEEFE
sZG4hg;dac;08/10/2007 16:15;GyWEzH
l4WxzL;dac;08/10/2007 16:15;pe2hR3
yC5Hst;dac;08/10/2007 16:15;j24bfU
JDo9ki;dac;08/10/2007 16:15;Ly2HSo
zsMTHI;dac;08/10/2007 16:15;9WFteX
tOUj8D;dac;08/10/2007 16:15;OZ3DGT
uhkEHx;dac;08/10/2007 16:15;LwB0bp
1Trp7I;dac;08/10/2007 16:15;6Z0YwE
IkaFeb;dac;08/10/2007 16:15;tch9M5
lGGYcP;dac;08/10/2007 16:15;ChXLyg
oSHtYD;dac;08/10/2007 16:15;TeW3Wq
lIHldP;dac;08/10/2007 16:15;MsQtb5
orW4XI;dac;08/10/2007 16:15;PQNdlq
q1qFfR;croos;08/10/2007 16:15;oUbtwB
5d96RT;croos;08/10/2007 16:15;fXytGs
bUW3OP;croos;08/10/2007 16:15;Q5RGcN
hHhdJe;croos;08/10/2007 16:15;SHvYGH
YB0bol;croos;08/10/2007 16:15;9iBwT2
dU5lqo;croos;08/10/2007 16:15;23OvON
ZOQVri;croos;08/10/2007 16:15;bPb0iN
1lRiwI;amig;08/10/2007 16:15;ZcUTP1
cZtzed;amig;08/10/2007 16:15;qLre0U
SDTeeB;amig;08/10/2007 16:15;fVwikk
QFCnns;amig;08/10/2007 16:15;gilt8x
tXDPxV;amig;08/10/2007 16:15;mpfWdD
Ufto9A;amig;08/10/2007 16:15;j0P6LD
fqSzBX;amig;08/10/2007 16:15;tdDbzO
u1RfoG;amig;08/10/2007 16:15;WL1TcU
Vjnlly;amig;08/10/2007 16:15;1xS6EI
oNlkgs;adel;08/10/2007 16:15;B54HJm
3vq3Ym;adel;01/10/2007 16:15;tqwUst
64RFDg;adel;08/10/2007 16:15;SqRe2N
8xQKoK;adel;08/10/2007 16:15;FvUjq0
oqyyqb;adel;08/10/2007 16:15;57SxqR
eEuHyw;adel;08/10/2007 16:15;JOkEyg
