Grover;Quincy;AR;South East;2008-02-17;;01/09/1973;41;82.4;False
Warren;Johnson;WA;West;2007-08-18;Nashville;11/02/1960;17.5;87.6;False
Andrew;Ford;WA;West;2008-09-13;Richmond;13/11/1971;91;18.3;invalid
Gerald;Pierce;ID;West;2007-08-05;Pierre;30/10/1963;-34;6.0;False
Lyndon;Monroe;IN;Mid West;2008-11-19;Tallahassee;22/07/1946;;5.7;True
Grover;Hoover;;;2008-07-18;Annapolis;17/10/1948;1;56.3;True
Grover;Wilson;NJ;North East;2008-11-14;Hartford;03/10/1957;0;0;True
Zachary;  Adams  ;  MI  ;;2007-10-14;Atlant;invalid;;89.7;False
Richard;  Coolidge
foobar  ;KY;South East;2007-09-02;;01/07/1959;62;56.3;True
Gerald;Clinton  ;ND;Mid West;2007-06-27;SACRAMENTO;26/06/1980;88;;False
George;Hoover  ;TN;South East;2007-11-05;Sacramento;26/08/1948;39;-38.6;False
Franklin;     Polk;WI;Mid West;2007-12-15;Madison;07/05/1958;77;10;False
Herbert;Pierce;IL;Mid West;2007-11-15;Salem;27/08/1967;69;NA;True
Jimmy;Taft;WI;Mid West;2007-02-09;Carson City;28/10/1970;58;-8.2;False
Thomas;Tyler;ND;Mid West;2008-12-09;Providence;14/01/1977;54;52.0;False
Martin;Truman;SD;Mid West;2007-08-19;Indianapolis;18/10/1956;34;39.3;False
Calvin;Harrison;TN;South East;2008-04-23;Hartford;19/11/1953;;98.2;False
Ulysses;Quincy;MS;South East;2008-01-21;Honolulu;02/08/1982;;0;False
Thomas;Taft;NC;South East;2008-07-07;;06/02/1966;83;13.5;False
Herbert;Jackson;UT;West;2007-10-21;columbus;25/09/1982;-34;86.6;False
Bill;Quincy;AR;South East;2008-01-25;Oklahoma City;18/10/1975;-92;-68.5;False
Martin;Kennedy;GA;South East;2007-03-19;Pierre;26/03/1978;38;46.7;False
Ulysses;Garfield;RI;North East;2008-07-28;Lansing;04/08/1963;4;80.9;True
Richard;Wilson;NY;North East;2007-10-25;Montgomery;02/11/1978;62;74.1;True
Dwight;Roosevelt;IA;Mid West;2008-06-26;Lansing;22/04/1985;19;30.2;False
Franklin;Pierce;NY;North East;2008-02-08;Lansing;05/07/1967;74;0.4;False
Herbert;Coolidge;NY;North East;2008-03-01;Frankfort;20/01/1974;36;5.2;False
Jimmy;Monroe;FL;South East;2008-06-08;Pierre;13/08/1969;75;99.3;False
Benjamin;Johnson;SC;South East;2007-01-21;Charleston;18/04/1951;28;25.4;False
George;Washington;KS;Mid West;2008-01-13;Columbus;24/05/1949;11;76.1;True
Warren;Tyler;KY;South East;2007-12-18;Annapolis;25/08/1986;82;60.9;False
Theodore;Wilson;NJ;North East;2007-01-23;Trenton;26/06/1985;28;28.5;True
Calvin;Arthur;MI;Mid West;2008-11-26;Boise;15/06/1953;87;78.2;False
Gerald;Johnson;MI;Mid West;2008-01-29;Columbia;12/02/1972;42;17.4;True
Dwight;Lincoln;NC;South East;2008-11-18;Indianapolis;13/09/1962;30;86.1;False
Harry;Madison;IA;Mid West;2007-02-11;Lincoln;23/02/1950;76;24.7;False
Abraham;Grant;SD;Mid West;2007-09-17;Helena;06/05/1985;53;69.4;True
Richard;Coolidge;SC;South East;2008-12-02;Salt Lake City;22/01/1950;86;-58877856.2;False
Thomas;Arthur;AK;West;2008-10-06;Des Moines;04/10/1947;81;-AAA-;False
James;Pierce;OR;West;2007-10-30;Annapolis;20/05/1947;68;30.7;False
Rutherford;Clinton;MO;Mid West;2007-10-27;Columbia;27/12/1976;37;34.6;True
Martin;Carter;KS;Mid West;2007-04-30;Montpelier;06/12/1958;26;63.5;False
Harry;Eisenhower;MD;North East;2008-04-06;Lansing;21/09/1955;12;65.3;False
Chester;Wilson;AZ;South West;2007-07-14;Montgomery;17/11/1970;85;53.1;False
Jimmy;Nixon;MS;South East;2007-06-09;Helena;21/02/1956;40;91.6;False
James;Polk;MN;Mid West;2008-03-26;Madison;29/11/1962;67;14.7;True
Woodrow;Harding;WI;Mid West;2007-11-07;Topeka;01/04/1981;43;65.2;True
Thomas;Grant;MO;Mid West;2008-05-27;Helena;17/11/1954;13;69.4;True
George;Pierce;PA;North East;2008-10-31;Annapolis;27/06/1983;22;98.0;False
Grover;Roosevelt;OK;South West;2007-07-01;Carson City;10/03/1981;27;13.7;False
Lyndon;Johnson;FL;South East;2008-06-18;Harrisburg;16/12/1963;39;10.1;False
Richard;Roosevelt;CO;West;2008-02-05;Austin;11/12/1969;30;7.0;True
Harry;McKinley;AZ;South West;2007-08-15;Nashville;29/02/1968;78;66.9;False
Martin;Polk;WA;West;2008-07-06;Phoenix;31/05/1972;8;70.9;False
Andrew;Pierce;GA;South East;2008-08-03;Salt Lake City;27/04/1947;88;80.5;True
Ulysses;Van Buren;CT;North East;2008-12-12;Carson City;21/11/1983;41;62.0;True
Dwight;Fillmore;MN;Mid West;2007-11-17;Nashville;20/08/1970;78;45.5;True
Millard;Tyler;OK;South West;2008-11-29;Topeka;23/02/1978;27;9.6;True
Dwight;Adams;SC;South East;2008-01-31;Salem;01/07/1955;65;95.2;False
Ronald;Clinton;CO;West;2008-10-02;Baton Rouge;08/11/1967;2;21.5;False
Ronald;Lincoln;IL;Mid West;2008-12-19;Lansing;17/04/1957;62;83.1;False
Zachary;Johnson;MA;North East;2007-08-05;Helena;23/12/1949;8;66.8;False
Gerald;Eisenhower;NJ;North East;2008-03-03;Montgomery;22/06/1958;93;94.7;False
Abraham;Johnson;MS;South East;2008-05-02;Santa Fe;23/08/1984;8;58.1;True
John;Taylor;KY;South East;2007-05-11;Helena;31/07/1965;11;98.2;False
Harry;Cleveland;AL;South East;2007-04-11;Topeka;03/01/1986;62;79.1;False
Calvin;Roosevelt;MD;North East;2007-07-18;Concord;18/03/1963;68;95.6;False
Ulysses;Washington;MD;North East;2008-04-21;Boston;03/12/1961;50;-81.4;True
Grover;Wilson;MD;North East;2008-09-25;Hartford;27/08/1972;96;8.3;False
Bill;Adams;TN;South East;2007-08-26;Concord;15/05/1968;78;11.4;False
Dwight;Johnson;MA;North East;2008-04-24;Denver;29/09/1985;23;19.1;False
Bill;Harrison;SD;Mid West;2008-06-22;Boston;16/04/1962;8;41.7;False
George;Ford;VT;North East;2008-03-12;Bismarck;16/02/1953;90;78.8;False
Warren;Quincy;MI;Mid West;2008-12-21;Richmond;21/11/1957;24;67.3;False
Ronald;Roosevelt;UT;West;2007-01-15;Augusta;03/04/1959;43;20.6;False
William;Harrison;WI;Mid West;2008-06-12;Juneau;21/04/1980;74;51.0;False
Grover;Grant;VA;South East;2008-11-30;Nashville;12/06/1947;8;-24.6;False
Martin;Arthur;HI;West;2007-09-30;Pierre;05/07/1981;57;98.2;False
James;Harding;VA;South East;2008-10-21;Jackson;06/04/1983;53;64.9;False
Bill;Johnson;NJ;North East;2008-10-29;Augusta;22/05/1977;40;80.4;False
Bill;Harrison;KY;South East;2007-03-03;Olympia;29/12/1983;54;7.5;True
Millard;Madison;MD;North East;2008-10-22;Columbus;10/12/1963;3;90.9;True
Chester;Jackson;MI;Mid West;2008-07-23;Concord;31/05/1956;23;25.0;True
Ulysses;Lincoln;CA;West;2007-07-06;Charleston;02/11/1982;98;31.0;True
Benjamin;Monroe;HI;West;2007-03-09;Baton Rouge;01/01/1954;72;10.6;False
Benjamin;Van Buren;IN;Mid West;2007-10-10;Trenton;19/10/1963;95;41.9;False
Ulysses;Roosevelt;NC;South East;2007-08-03;Phoenix;28/01/1971;53;7.2;False
Gerald;Adams;MA;North East;2008-03-09;Denver;27/09/1963;88;50.9;False
Ulysses;Harding;CT;North East;2007-06-13;Salt Lake City;24/08/1946;46;-83.9;True
Dwight;Clinton;MA;North East;2008-04-27;Boston;19/01/1954;57;9.8;False
Rutherford;Taylor;VT;North East;2008-02-16;Baton Rouge;16/04/1986;1;0.9;False
Zachary;Harding;GA;South East;2007-03-10;Tallahassee;25/02/1962;43;46.8;False
Benjamin;Lincoln;CO;West;2008-09-10;Lincoln;03/11/1980;95;22.9;False
Harry;Roosevelt;UT;West;2008-05-13;Atlanta;31/07/1965;6;69.4;True
Zachary;Johnson;WI;Mid West;2007-09-17;Santa Fe;12/07/1977;31;12.5;True
