001;Mr Destin Jones;MSR;Richmond Hill 10;99671;Stebbins;048-288-966;DJones@gmail.com;03-01-0021;prospect;true
001;Mr Destin Jones;MSR;Richmond Hill 10;99671;Stebbhns;048-288-966;DJones@gmail.com;03-01-0021;prospect;false
001;Mr Detin Jones;MSR;Richmond Hill 10;99671;Stebbins;048-288-966;DJones@gmail.com;03-01-0021;prospect;false
001;M estin Joes;MSR;Richmond Hill 10;99671;Sdebbins;048-288-966;DJones@gmail.com;03-01-0021;prospect;false
001;r Detn Jnes;MSR;Richmond Hill 10;99671;Stobbins;048-288-966;DJones@gmail.com;03-01-0021;prospect;false
0010;Mrs Alice Phillips;MTQ;East Calle Primera 47;04642;Harborside;818-877-478;APhillips@yahoo.com;05-11-0007;customer;true
0011;Ms Katie Walker;LBY;Castillo Drive 8;30021;Clarkston;;KWalker@msn.com;23-05-0006;beneficiary;true
0012;Ms Samantha Evans;NRU;East Fry Blvd. 25;60417;Crete;;SEvans@gmail.com;15-04-0011;customer;true
0012;Ms aha Evans;NRU;East Fry Blvd. 25;60417;Crete;;SEvans@gmail.com;15-04-0011;customer;false
0012;Ms aantha Evans;NRU;East Fry Blvd. 25;60417;Crate;;SEvans@gmail.com;15-04-0011;customer;false
0012;Ms Samantha Evans;NRU;East Fry Blvd. 25;60417;Krete;;SEvans@gmail.com;15-04-0011;customer;false
0012;Ms Samantha Evans;NRU;East Fry Blvd. 25;60417;Krete;;SEvans@gmail.com;15-04-0011;customer;false
0013;Mr Derick Bennett;DJI;E Fowler Avenue 38;12929;Dannemora;391-849-582;DBennett@yahoo.com;14-01-0023;prospect;true
0014;Ms Chelsea Jones;PAN;San Simeon 46;14433;Clyde;;CJones@yahoo.com;20-10-0033;prospect;true
0014;Ms Chelsea Jones;PAN;San Simeon 46;14433;Clyde;;CJones@yahoo.com;20-10-0033;prospect;false
0014;Ms Chelsea Jones;PAN;San Simeon 46;14433;Clyde;;CJones@yahoo.com;20-10-0033;prospect;false
