Code;Name;Cntry;Addr_st;Zip;City;Phone_num;Email;DOB;Cust_type
001;Mr Destin Jones;MSR;Richmond Hill 10;99671;Stebbins;048-288-966;DJones@gmail.com;1952-09-15;prospect
0010;Mrs Alice Phillips;MTQ;East Calle Primera 47;04642;Harborside;818-877-478;APhillips@yahoo.com;1954-07-02;customer
0011;Ms Katie Walker;LBY;Castillo Drive 8;30021;Clarkston;;KWalker@msn.com;1969-01-01;beneficiary
0012;Ms Samantha Evans;NRU;East Fry Blvd. 25;60417;Crete;;SEvans@gmail.com;1992-11-05;customer
0013;Mr Derick Bennett;DJI;E Fowler Avenue 38;12929;Dannemora;391-849-582;DBennett@yahoo.com;1962-09-17;prospect
0014;Ms Chelsea Jones;PAN;San Simeon 46;14433;Clyde;;CJones@yahoo.com;1999-05-28;prospect
0015;Mr Drake White;SGS;North Ventu Park Road 12;80509;Colorado Springs;708-140-048;DWhite@gmail.com;1956-03-21;customer
0016;Mrs Imogen Flores;AUT;Santa Rosa North 25;72088;Fairfield Bay;577-849-854;IFlores@yahoo.com;1980-05-31;customer
0017;Mrs Morgan Ross;ROU;Fontaine Road 12;03576;Colebrook;;MRoss@yahoo.com;1964-04-25;customer
0018;Mr Armando Cook;LUX;Burnett Road 22;64071;Mayview;174-750-768;ACook@gmail.com;1953-10-20;prospect
0019;Mrs Paige Brown;UGA;Carpinteria Avenue 3;65648;Fair Grove;;PBrown@gmail.com;1985-03-25;prospect
002;Mr Justice James;BMU;S Rustle St 49;37348;Kelso;;JJames@gmail.com;1974-10-05;beneficiary
0020;Ms Libby Williams;TKL;Santa Rosa North 42;49840;Gulliver;;LWilliams@gmail.com;1958-03-21;beneficiary
0021;Mr Axel Anderson;NAM;North Broadway Street 41;38459;Frankewing;606-947-958;AAnderson@gmail.com;1955-10-07;prospect
0022;Mr Dillan Phillips;NGA;El Camino Real 12;02714;Dartmouth;;DPhillips@yahoo.com;1994-06-15;prospect
