id;Firstname;Lastname;Adress;RegistrationDate;Revenue;States
1;Andrew;Cleveland;South Roosevelt Drive;20/01/2005;55239;XX
2;Franklin;Jefferson;Carpinteria Avenue;19/05/2006;78148;NC
3;Calvin;Cleveland;Corona Del Mar;28/09/2000;77912;CT
4;Grover;Ford;Cleveland Ave.;27/11/2001;76036;XX
5;Woodrow;Adams;South Highway;30/09/2004;56895;AZ
6;Franklin;Quincy Adams;Fairview Avenue;04/09/2001;26144;CT
7;Grover;Nixon;Harry S Truman Blvd;14/10/2003;17275;TX
8;William;Coolidge;Tully Road East;10/01/2004;37891;AZ
9;Ronald;Jackson;Jones Road;29/02/2004;82233;ID
10;Millard;Cleveland;North Ventu Park Road;19/10/2006;21549;NC
11;Chester;Roosevelt;North Erringer Road;09/04/2004;38864;AZ
12;Calvin;Adams;Santa Ana Freeway;24/08/2000;69686;MI
13;Franklin;Harrison;Camelback Rd;05/09/1999;85257;AR
14;Millard;Van Buren;French Camp Turnpike Road;01/12/2003;39861;IA
15;John;Harding;Santa Ana Freeway;03/11/2002;58799;MD
16;George;Carter;Bayshore Freeway;16/03/2004;48565;ID
17;Zachary;Hoover;French Camp Turnpike Road;21/06/2005;25768;WI
18;Martin;Monroe;Harry S Truman Blvd;09/07/2004;76426;NV
19;Theodore;Garfield;Redwood Highway;02/07/2000;72128;NH
20;Ulysses;Adams;Redwood Highway;17/01/2003;34653;DE
21;Jimmy;Polk;Carpinteria South;31/08/2000;15622;PA
22;Ulysses;Clinton;East 1st Street;28/07/2005;22722;TN
23;James;Lincoln;North Erringer Road;03/10/1999;29075;MT
24;William;Coolidge;W. Russell St.;13/07/1998;57326;RI
25;Chester;Garfield;Bowles Avenue;06/06/2002;14976;FL
26;Gerald;Harrison;Bayshore Freeway;18/08/1999;82576;WI
27;John;Roosevelt;Santa Ana Freeway;20/09/2005;71290;LA
28;Zachary;Washington;Milpas Street;02/03/2006;81439;MN
29;Bill;Quincy Adams;Santa Monica Road;12/02/2004;68535;SD
30;Herbert;Fillmore;San Marcos;10/12/2002;18434;OK
31;Franklin;Polk;Grandview Drive;10/04/2000;48098;NV
32;George;Ford;E Fowler Avenue;04/10/2002;63586;NV
33;Ulysses;Van Buren;North Atherton Street;21/05/2003;91805;NC
34;Abraham;Grant;Monroe Street;14/08/2002;17605;NY
35;Ronald;Jackson;Tully Road East;21/02/2006;22747;IN
36;Warren;Hayes;Lawrenceville Suwanee;28/06/1999;98353;NM
37;Thomas;Polk;Burnett Road;01/05/2003;17344;KY
38;Martin;Taylor;Bailard Avenue;20/09/2002;28512;WY
